kdrama_name,episodes,start_airing,end_airing,duration,score,scored_by,ranked,popularity,content_rating,watchers
How Are U Bread,5,2020-01-17,2020-02-15,42.0,6.7,1899.0,8968,1970,13+ - Teens 13 or older,6723
How Long I've Kissed,16,2012-02-29,2012-04-19,65.0,7.8,342.0,3075,5866,15+ - Teens 15 or older,1496
How to Be Thirty,15,2021-02-23,2021-04-13,20.0,7.0,3253.0,8437,1454,15+ - Teens 15 or older,9527
How to Buy a Friend,8,2020-04-06,2020-04-14,35.0,7.8,3065.0,3249,1460,15+ - Teens 15 or older,9497
How to Meet a Perfect Neighbor,20,2007-07-25,2007-09-27,65.0,7.0,572.0,8323,5589,13+ - Teens 13 or older,1614
How Should I Be,41,2001-04-01,2002-01-27,35.0,7.5,2.0,99999,99999,15+ - Teens 15 or older,20
Hur Jun,64,1999-11-22,2000-06-27,60.0,7.9,154.0,70215,11298,Not Yet Rated,471
"Hur Jun, The Original Story",135,2013-03-18,2013-09-27,31.0,7.9,219.0,2921,6622,15+ - Teens 15 or older,1228
Hush,16,2020-12-11,2021-02-06,70.0,7.5,816.0,5680,3432,15+ - Teens 15 or older,3371
Hwang Jini,32,1982-11-04,1983-03-11,,10.0,1.0,99999,99999,Not Yet Rated,24
Hwarang: The Poet Warrior Youth,20,2016-12-19,2017-02-21,60.0,8.0,42649.0,2020,45,15+ - Teens 15 or older,92855
"Hyde Jekyll, Me",20,2015-01-21,2015-03-26,60.0,7.4,14472.0,6250,322,15+ - Teens 15 or older,34127
Hyena,16,2006-10-11,2006-11-30,60.0,7.2,197.0,7658,6888,18+ Restricted (violence & profanity),1156
I Am Legend,6,2017-07-24,2017-07-29,15.0,7.0,1145.0,8348,4152,13+ - Teens 13 or older,2552
I Can Hear Your Voice,18,2013-06-05,2013-08-01,60.0,8.5,43715.0,512,54,15+ - Teens 15 or older,88061
"I Do, I Do",16,2012-05-30,2012-07-19,65.0,7.3,6810.0,6959,1053,Not Yet Rated,13318
I Have a Lover,50,2015-08-22,2016-02-28,65.0,7.7,1994.0,3774,2107,Not Yet Rated,6166
I Love Lee Taly,16,2012-05-28,2012-07-17,45.0,6.7,2055.0,8964,2528,Not Yet Rated,5000
I Need Romance,16,2011-06-08,2011-08-02,45.0,7.3,4844.0,7261,1304,Not Yet Rated,10622
I Need Romance 2012,16,2012-06-20,2012-08-09,50.0,7.5,4315.0,5651,1466,Not Yet Rated,9473
I Need Romance 3,16,2014-01-13,2014-03-04,47.0,7.8,8411.0,3192,794,Not Yet Rated,17355
I Order You,16,2015-07-06,2015-07-30,20.0,7.3,4117.0,7289,1533,Not Yet Rated,9041
I Picked Up a Celebrity on the Street,10,2018-11-01,2018-12-14,63.0,7.4,6179.0,6024,926,13+ - Teens 13 or older,15146
I Wanna Hear Your Song,32,2019-08-05,2019-09-24,35.0,7.5,4014.0,5786,1140,15+ - Teens 15 or older,12331
I'm After You,16,2021-01-23,2021-03-14,70.0,6.9,2930.0,8673,1829,15+ - Teens 15 or older,7285
I'm Not a Robot,32,2017-12-06,2018-01-25,35.0,8.4,61519.0,745,21,15+ - Teens 15 or older,122487
"I'm Sorry, But I Love You",16,2004-11-08,2004-12-28,70.0,8.0,5518.0,2201,996,15+ - Teens 15 or older,14195
"I'm Sorry, I Love You",16,2004-11-08,2004-12-28,70.0,8.0,5518.0,2201,996,15+ - Teens 15 or older,14195
Ice Adonis,108,2012-02-27,2012-08-30,40.0,7.8,619.0,3275,4757,Not Yet Rated,2064
Ice Girl,16,2022-07-22,2022-09-14,20.0,7.7,1208.0,4338,2849,15+ - Teens 15 or older,4310
Idol Drama Operation Team,8,2017-06-26,2017-07-03,15.0,7.4,409.0,6162,6482,Not Yet Rated,1267
Idol: The Coup,12,2021-11-08,2021-12-14,85.0,8.1,2823.0,1677,1591,15+ - Teens 15 or older,8619
If Tomorrow Comes,8,1988-06-13,1988-07-05,60.0,8.0,1.0,99999,99999,Not Yet Rated,13
If You Wish Upon Me,16,2022-08-10,2022-09-29,70.0,8.4,7827.0,687,493,15+ - Teens 15 or older,24883
Iljimae,8,1993-08-09,1993-08-31,60.0,8.0,23.0,69685,16115,Not Yet Rated,228
Imaginary Cat,8,2015-11-24,2016-01-12,35.0,7.4,4110.0,6546,1430,Not Yet Rated,9739
Imitation,12,2021-05-07,2021-07-23,70.0,8.0,13373.0,2162,346,15+ - Teens 15 or older,32375
Immortal Admiral Yi Sun-sin,104,2004-09-04,2005-08-28,65.0,7.9,67.0,70494,12043,15+ - Teens 15 or older,413
In-soon Is Pretty,16,2007-11-07,2007-12-27,70.0,6.9,312.0,8589,8662,Not Yet Rated,777
Incarnation of Money,24,2013-02-02,2013-04-21,65.0,7.9,2004.0,2969,2564,Not Yet Rated,4938
Innocent Defendant,18,2017-01-23,2017-03-21,70.0,8.7,11190.0,241,390,15+ - Teens 15 or older,29461
Insider,16,2022-06-08,2022-07-28,64.0,8.1,2184.0,1938,1412,18+ Restricted (violence & profanity),9842
Inspector Koo,12,2021-10-30,2021-12-12,70.0,8.2,5423.0,1470,1026,15+ - Teens 15 or older,13655
Inspiring Generation,24,2014-01-15,2014-04-03,60.0,7.2,2776.0,7744,1595,Not Yet Rated,8595
"Insu, the Queen Mother",60,2011-12-03,2012-06-24,60.0,7.6,228.0,5098,6451,15+ - Teens 15 or older,1281
Into the Flames,20,2014-04-25,2014-06-28,70.0,7.6,23.0,74427,11951,15+ - Teens 15 or older,420
Introverted Boss,16,2017-01-16,2017-03-14,70.0,7.8,29328.0,3523,111,15+ - Teens 15 or older,64728
Invincible Lee Pyung Kang,10,2019-11-21,2020-01-23,10.0,7.1,834.0,7937,4112,Not Yet Rated,2587
Ireland,16,2004-09-01,2004-10-21,70.0,6.7,243.0,8991,7639,Not Yet Rated,969
Iris,20,2013-02-13,2013-04-18,65.0,7.4,2715.0,6467,1633,13+ - Teens 13 or older,8379
Iris II: New Generation,20,2013-02-13,2013-04-18,65.0,7.4,2715.0,6467,1633,13+ - Teens 13 or older,8379
Is It Fate?,8,,,70.0,,,37372,4197,15+ - Teens 15 or older,2522
Island,6,2022-12-30,2023-01-13,55.0,8.1,12429.0,1740,315,15+ - Teens 15 or older,34368
Itaewon Class,16,2020-01-31,2020-03-21,70.0,8.5,67412.0,557,19,15+ - Teens 15 or older,124552
Item,32,2019-02-11,2019-04-02,35.0,7.3,2042.0,7024,1741,15+ - Teens 15 or older,7700
It's My Life,24,2006-01-07,2006-03-26,60.0,7.3,14.0,79279,99999,13+ - Teens 13 or older,134
It's Okay to Not Be Okay,16,2020-06-20,2020-08-09,75.0,8.9,95361.0,64,6,15+ - Teens 15 or older,169484
"It's Okay, Daddy's Girl",16,2014-07-23,2014-09-11,60.0,8.6,41102.0,345,60,15+ - Teens 15 or older,84852
"It's Okay, That's Love",16,2014-07-23,2014-09-11,60.0,8.6,41102.0,345,60,15+ - Teens 15 or older,84852
Ja Myung Go,9,,,6.0,6.5,12.0,88492,99999,Not Yet Rated,90
Jang Bo-ri Is Here!,52,2014-04-05,2014-10-12,65.0,7.8,1850.0,3079,2538,15+ - Teens 15 or older,4984
"Jang Ok-jung, Living by Love",24,2013-04-08,2013-06-25,65.0,7.8,3480.0,3382,1563,Not Yet Rated,8784
Jang Yeong-sil,24,2016-01-02,2016-03-26,62.0,7.8,403.0,3632,5766,Not Yet Rated,1537
Jeon Woo-chi,24,2012-11-21,2013-02-07,70.0,7.0,602.0,8253,4388,15+ - Teens 15 or older,2358
Jeong Do-jeon,50,2014-01-04,2014-06-29,50.0,7.8,116.0,72093,8425,Not Yet Rated,816
Ji Woon-soo's Stroke of Luck,20,2012-04-21,2012-06-24,63.0,7.1,7.0,82842,99999,15+ - Teens 15 or older,157
Jinxed at First,16,2022-06-15,2022-08-04,70.0,7.3,4781.0,7173,923,15+ - Teens 15 or older,15166
Jirisan,16,2021-10-23,2021-12-12,70.0,8.1,7337.0,1611,568,15+ - Teens 15 or older,22666
Jolly Widows,155,2009-06-29,2010-01-29,40.0,6.8,49.0,86382,16460,15+ - Teens 15 or older,218
Joseon Exorcist,2,2021-03-22,2021-03-23,70.0,7.9,1068.0,2649,2573,18+ Restricted (violence & profanity),4915
Joseon Lawyer,16,2023-03-31,2023-05-20,70.0,8.0,2836.0,2335,1190,15+ - Teens 15 or older,11704
Joseon Survival Period,16,2019-06-08,2019-08-17,65.0,7.0,281.0,8496,4998,15+ - Teens 15 or older,1903
Joseon X-Files,2,2021-03-22,2021-03-23,70.0,7.9,1068.0,2649,2573,18+ Restricted (violence & profanity),4915
JTBC Drama Festa,10,2017-08-14,2017-08-25,15.0,7.2,391.0,7342,5864,15+ - Teens 15 or older,1496
Hello Dracula,16,2015-06-22,2015-08-11,70.0,8.4,25042.0,732,132,15+ - Teens 15 or older,58082
Judge vs. Judge,32,2017-11-22,2018-01-11,35.0,7.7,3130.0,3883,1406,15+ - Teens 15 or older,9856
Jugglers,16,2017-12-04,2018-01-23,63.0,7.7,7695.0,3897,737,15+ - Teens 15 or older,18394
Jump,164,1999-05-31,2000-02-11,,10.0,1.0,99999,99999,Not Yet Rated,48
Jungle Fish,1,,,60.0,6.6,562.0,9105,5801,13+ - Teens 13 or older,1523
Jungle Fish 2,8,2010-11-04,2010-12-30,60.0,7.4,1240.0,6345,3867,13+ - Teens 13 or older,2844
Junwoo,16,2019-07-22,2019-09-10,70.0,8.0,13104.0,2084,304,15+ - Teens 15 or older,35205
Just Dance,16,2018-12-03,2018-12-25,30.0,7.9,1696.0,2477,2166,13+ - Teens 13 or older,5975
Justice,32,2019-07-17,2019-09-05,35.0,7.8,1108.0,3504,2425,15+ - Teens 15 or older,5201
Juvenile Justice,10,,,62.0,8.6,14274.0,373,423,18+ Restricted (violence & profanity),27708
Kairos,16,2020-10-26,2020-12-22,70.0,8.5,5861.0,514,752,15+ - Teens 15 or older,18215
KBS Drama Special,10,,,,,,99999,99999,15+ - Teens 15 or older,10
Do You Know Taekwondo?,15,2016-05-09,2016-06-10,,6.8,6.0,86566,99999,13+ - Teens 13 or older,62
If We Were a Season,15,2004-02-25,2004-04-14,65.0,6.7,103.0,87267,11468,15+ - Teens 15 or older,458
My Prettiest Moments,32,2020-08-19,2020-10-15,35.0,6.7,1877.0,8945,1776,15+ - Teens 15 or older,7546
Pinocchio's Nose,20,2014-11-12,2015-01-15,58.0,8.4,64265.0,766,16,15+ - Teens 15 or older,132906
Reason,44,1997-05-07,1997-10-02,60.0,7.6,3.0,74948,99999,Not Yet Rated,55
KBS TV Novel,196,2004-06-14,2005-01-29,25.0,8.0,2.0,99999,99999,Not Yet Rated,57
A Sea of Her Own,120,2017-02-27,2017-08-12,35.0,6.7,39.0,87514,14651,15+ - Teens 15 or older,278
Dal Soon's Spring,129,2017-08-14,2018-02-09,35.0,7.2,51.0,81795,13882,15+ - Teens 15 or older,311
Dear My Sister,130,2011-11-07,2012-05-04,40.0,6.8,40.0,86755,99999,Not Yet Rated,179
Eunhui,140,2013-06-24,2014-01-03,35.0,7.0,39.0,84346,14655,15+ - Teens 15 or older,278
In Still Green Days,129,2015-03-02,2015-08-28,35.0,7.2,12.0,81912,16543,Not Yet Rated,216
Land of Gold,163,2014-01-06,2014-08-22,40.0,7.6,15.0,74515,99999,Not Yet Rated,138
Landscape in My Heart,138,2007-04-30,2007-11-09,35.0,6.8,14.0,86108,99999,Not Yet Rated,74
"Love, My Love",175,2012-05-07,2013-01-04,40.0,7.1,28.0,82535,16896,Not Yet Rated,205
My Mind's Flower Rain,128,2016-02-29,2016-09-06,35.0,7.3,47.0,80297,13632,Not Yet Rated,323
Samsaengi,120,2013-01-07,2013-06-21,40.0,7.3,69.0,79564,15150,Not Yet Rated,259
Single-minded Dandelion,134,2014-08-25,2015-02-27,40.0,7.4,25.0,77494,99999,Not Yet Rated,188
Sunok,150,2006-11-05,2007-04-28,25.0,6.8,5.0,86420,99999,Not Yet Rated,40
That Sun in the Sky,121,2016-09-07,2017-02-22,36.0,7.3,29.0,79519,16002,15+ - Teens 15 or older,231
The Stars Are Shining,128,2015-08-31,2016-02-26,40.0,7.4,79.0,77518,11647,Not Yet Rated,444
Kill Heel,14,2022-03-09,2022-04-21,60.0,7.3,487.0,6793,4424,15+ - Teens 15 or older,2326
Kill It,12,2019-03-23,2019-04-28,60.0,8.2,13285.0,1424,281,15+ - Teens 15 or older,37254
"Kill Me, Heal Me",20,2015-01-07,2015-03-12,62.0,8.7,48288.0,252,30,15+ - Teens 15 or older,105679
Kim Is a Genius,10,2019-05-17,2019-07-19,15.0,7.3,15.0,80055,10666,13+ - Teens 13 or older,526
"Kim Su-ro, The Iron King",6,2019-12-03,2019-12-19,10.0,7.3,220.0,6879,8974,Not Yet Rated,724
Kimcheed Radish Cubes,121,2007-07-23,2008-01-18,30.0,7.1,28.0,83314,13257,G - All Ages,343
Kimchi Cheese Smile,121,2007-07-23,2008-01-18,30.0,7.1,28.0,83314,13257,G - All Ages,343
Kimchi Family,24,2011-12-07,2012-02-23,65.0,7.6,855.0,4512,4560,15+ - Teens 15 or older,2203
King of Ambition,24,2013-01-14,2013-04-02,65.0,7.6,1714.0,4420,2329,15+ - Teens 15 or older,5478
King the Land,16,2023-06-17,2023-08-06,80.0,8.3,28640.0,825,127,15+ - Teens 15 or older,59280
Kingdom,6,,,51.0,8.8,33737.0,154,113,18+ Restricted (violence & profanity),64530
Kingmaker: The Change of Destiny,21,2020-05-17,2020-07-26,62.0,7.8,982.0,3359,2723,15+ - Teens 15 or older,4557
Kiss Sixth Sense,12,2022-05-25,2022-06-29,70.0,8.0,7653.0,2023,798,15+ - Teens 15 or older,17238
Kkondae Intern,24,2020-05-20,2020-07-01,35.0,7.9,2739.0,2976,1672,15+ - Teens 15 or older,8141
Kokdu: Season of Deity,16,2023-01-27,2023-03-24,80.0,7.3,3390.0,7172,1042,15+ - Teens 15 or older,13413
Korean Peninsula,18,2012-02-06,2012-04-03,60.0,7.5,141.0,76645,8931,Not Yet Rated,731
L.U.C.A.: The Beginning,12,2021-02-01,2021-03-09,75.0,7.3,4389.0,6909,1043,15+ - Teens 15 or older,13390
Lady Cha Dal-rae's Lover,100,2018-09-03,2019-01-18,36.0,7.0,30.0,83697,14706,15+ - Teens 15 or older,276
Land of Wine,16,2003-04-09,2003-05-29,65.0,6.6,20.0,88170,14645,15+ - Teens 15 or older,279
Last,16,2015-07-24,2015-09-12,63.0,7.9,1287.0,2442,2969,15+ - Teens 15 or older,4082
Late Night Restaurant,20,2015-07-04,2015-09-05,30.0,7.8,631.0,3366,4037,Not Yet Rated,2664
Law School,16,2021-04-14,2021-06-09,65.0,8.6,20918.0,348,199,15+ - Teens 15 or older,45511
Lawless Lawyer,16,2018-05-12,2018-07-01,66.0,8.3,24131.0,1127,139,15+ - Teens 15 or older,56578
Lawyers,16,2005-07-04,2005-08-23,60.0,6.8,72.0,86504,16025,Not Yet Rated,230
"Lee San, Wind of the Palace",103,2019-01-02,2019-05-31,35.0,7.2,299.0,7401,5020,15+ - Teens 15 or older,1890
Left-Handed Wife,103,2019-01-02,2019-05-31,35.0,7.2,299.0,7401,5020,15+ - Teens 15 or older,1890
Legal High,16,2019-02-08,2019-03-30,65.0,7.6,1654.0,4514,2572,15+ - Teens 15 or older,4916
Legend of Hyang Dan,2,2007-09-03,2007-09-04,65.0,7.0,646.0,8271,5930,Not Yet Rated,1466
Less Than Evil,32,2018-12-03,2019-01-29,35.0,8.0,1177.0,2377,2830,18+ Restricted (violence & profanity),4348
Let Me Be Your Knight,12,2021-11-07,2022-01-24,70.0,7.9,3734.0,2682,1200,15+ - Teens 15 or older,11574
Let Me Introduce Her,40,2018-07-14,2018-09-29,35.0,7.6,1253.0,4536,2934,15+ - Teens 15 or older,4144
Let's Eat,18,2015-04-06,2015-06-02,65.0,7.9,4665.0,2718,1309,15+ - Teens 15 or older,10576
Let's Eat 2,18,2015-04-06,2015-06-02,65.0,7.9,4665.0,2718,1309,15+ - Teens 15 or older,10576
Let's Eat 3,14,2018-07-16,2018-08-28,63.0,7.7,2200.0,3772,2087,15+ - Teens 15 or older,6266
Level Up,12,2019-07-10,2019-08-15,60.0,7.3,3398.0,6956,1597,13+ - Teens 13 or older,8588
Leverage,16,2019-10-13,2019-12-08,60.0,8.3,2975.0,1092,1512,15+ - Teens 15 or older,9160
Liar Game,12,2014-10-20,2014-11-25,63.0,8.2,9999.0,1214,473,Not Yet Rated,25559
Lie After Lie,16,2020-09-04,2020-10-24,69.0,8.3,4021.0,835,1215,15+ - Teens 15 or older,11437
Lie to Me,16,2011-05-09,2011-06-28,64.0,7.5,21301.0,5791,283,15+ - Teens 15 or older,37138
Lies Hidden in My Garden,8,2023-06-19,2023-07-11,60.0,7.8,2149.0,3611,1727,15+ - Teens 15 or older,7790
Life,16,2018-07-23,2018-09-11,70.0,8.0,5580.0,1998,700,15+ - Teens 15 or older,19214
Life Is Beautiful,16,2001-05-14,2001-07-03,65.0,7.2,134.0,81039,8334,15+ - Teens 15 or older,833
Life on Mars,16,2018-06-09,2018-08-05,65.0,8.7,10087.0,187,415,15+ - Teens 15 or older,28105
Lights and Shadows,64,2011-11-28,2012-07-03,70.0,7.6,46.0,74000,12560,Not Yet Rated,380
Light on Me,16,2021-06-29,2021-08-19,24.0,8.2,22579.0,1290,260,13+ - Teens 13 or older,39437
Likeable or Not,172,2007-09-03,2008-05-02,30.0,7.5,156.0,75918,10889,Not Yet Rated,506
"Link: Eat, Love, Kill",16,2022-06-06,2022-07-26,70.0,8.1,12545.0,1765,300,15+ - Teens 15 or older,35628
Listen to Love,12,2016-10-28,2016-12-03,70.0,7.8,3811.0,3105,1397,15+ - Teens 15 or older,9889
Listen to My Heart,30,2011-04-02,2011-07-10,65.0,8.1,7279.0,1681,806,15+ - Teens 15 or older,16981
Little Women,58,2004-04-24,2004-11-21,,7.7,35.0,73655,16114,Not Yet Rated,228
Live,18,2018-03-10,2018-05-06,75.0,8.6,8143.0,328,588,15+ - Teens 15 or older,21985
Live On,8,2020-11-17,2021-01-12,63.0,8.1,10646.0,1560,523,15+ - Teens 15 or older,23757
Live Up to Your Name,16,2017-08-12,2017-10-01,70.0,8.2,12217.0,1248,466,15+ - Teens 15 or older,25748
Live Your Own Life,50,2023-09-16,2024-03-03,80.0,,,37542,4916,15+ - Teens 15 or older,1952
Liver or Die,40,2019-01-09,2019-03-14,30.0,7.6,745.0,4926,4040,15+ - Teens 15 or older,2660
Living Among the Rich,170,2011-12-05,2012-08-03,30.0,7.4,54.0,77410,9453,15+ - Teens 15 or older,657
Lobbyist,24,2007-10-10,2007-12-26,68.0,7.2,319.0,7543,7425,15+ - Teens 15 or older,1015
Local Hero,16,2016-01-23,2016-03-20,65.0,7.2,2171.0,7671,1715,Not Yet Rated,7905
Longing for You,14,2023-07-26,2023-09-07,70.0,7.6,1123.0,4867,2288,15+ - Teens 15 or older,5577
Look Back in Anger,16,2000-02-28,2000-04-18,55.0,8.0,1.0,99999,99999,Not Yet Rated,82
Loss Time Life,2,2019-02-13,2019-02-14,45.0,7.1,169.0,7952,9002,15+ - Teens 15 or older,721
Lost,16,2021-09-04,2021-10-24,70.0,8.4,3038.0,610,1112,15+ - Teens 15 or older,12711
Love & Secret,102,2014-11-10,2015-04-03,35.0,7.2,651.0,7530,4510,Not Yet Rated,2245
Love (ft. Marriage and Divorce),16,2021-01-23,2021-03-14,70.0,6.9,2930.0,8673,1829,15+ - Teens 15 or older,7285
Love Again,16,2012-04-25,2012-06-14,63.0,7.4,70.0,78414,11350,15+ - Teens 15 or older,466
Love Alarm,8,,,50.0,7.3,54407.0,7245,35,13+ - Teens 13 or older,99927
Love Alert,16,2018-10-31,2018-12-20,65.0,6.7,2289.0,8922,2156,15+ - Teens 15 or older,6000
Love All Play,16,2022-04-20,2022-06-09,70.0,8.4,10811.0,714,430,15+ - Teens 15 or older,27352
Love and Obsession,150,2009-04-20,2009-10-10,30.0,6.8,17.0,85830,99999,15+ - Teens 15 or older,106
Love Can't Wait,124,2006-01-02,2006-06-30,30.0,7.9,12.0,70495,16155,13+ - Teens 13 or older,227
Love for a Thousand More,10,2016-12-05,2016-12-23,20.0,7.5,2514.0,5314,1932,13+ - Teens 13 or older,6842
Love in 3 Colors,4,2008-06-09,2008-09-15,60.0,7.3,13.0,79070,14589,Not Yet Rated,281
Love in Contract,16,2022-09-21,2022-11-10,65.0,7.7,12615.0,3827,339,15+ - Teens 15 or older,32915
Love in Her Bag,20,2013-08-05,2013-10-08,65.0,7.0,1850.0,8307,3005,15+ - Teens 15 or older,4018
Love in Sadness,40,2019-02-23,2019-04-27,30.0,7.6,1454.0,4966,2390,Not Yet Rated,5287
Love in the Moonlight,18,2016-08-22,2016-10-18,59.0,8.2,34861.0,1215,82,15+ - Teens 15 or older,76688
Love Is for Suckers,16,2022-10-05,2022-12-01,60.0,7.5,4611.0,5801,1079,15+ - Teens 15 or older,12991
Love Me When You Can,169,2006-07-17,2007-03-09,,7.1,4.0,82845,99999,Not Yet Rated,77
Love on a Rooftop,101,2015-04-06,2015-08-21,35.0,7.0,271.0,8509,7729,15+ - Teens 15 or older,950
Love Playlist,8,2017-03-09,2017-04-01,5.0,8.0,3815.0,2301,1543,15+ - Teens 15 or older,8955
Love Rain,20,2012-03-26,2012-05-29,65.0,7.6,18403.0,4638,287,15+ - Teens 15 or older,36753
Love Returns,120,2017-11-13,2018-05-04,35.0,7.4,615.0,6244,4277,15+ - Teens 15 or older,2463
Love Revolution,30,2020-09-01,2020-12-27,21.0,8.1,7078.0,1824,793,15+ - Teens 15 or older,17364
Love Scene Number,8,,,60.0,7.5,1351.0,5855,2756,18+ Restricted (violence & profanity),4489
Love to Hate You,10,,,52.0,8.6,24228.0,401,265,15+ - Teens 15 or older,39087
Love to the End,104,2018-07-23,2018-12-31,35.0,7.3,218.0,6704,8036,15+ - Teens 15 or older,886
Love Twist,103,2021-12-13,2022-05-20,35.0,7.1,190.0,82389,7512,15+ - Teens 15 or older,995
Love with Flaws,32,2019-11-27,2020-01-16,30.0,7.7,11919.0,4061,316,15+ - Teens 15 or older,34329
Loveholic,16,2005-05-02,2005-06-21,60.0,7.0,471.0,8367,5581,Not Yet Rated,1617
Lovely Horribly,32,2018-08-13,2018-10-02,35.0,7.0,4653.0,8282,987,15+ - Teens 15 or older,14355
Lovers,103,2003-05-19,2003-10-21,,7.1,3.0,82878,99999,Not Yet Rated,29
Lovers in Bloom,120,2017-05-29,2017-11-10,35.0,7.5,812.0,5635,3826,15+ - Teens 15 or older,2884
Lovers in Paris,20,2004-06-12,2004-08-15,65.0,7.3,1775.0,6731,3185,Not Yet Rated,3717
Lovers in Prague,18,2005-09-24,2005-11-20,65.0,7.1,479.0,8042,6011,15+ - Teens 15 or older,1433
Lovers of Haeundae,16,2012-08-06,2012-09-25,64.0,7.1,2295.0,8144,2354,15+ - Teens 15 or older,5389
Lovers of Music,16,2014-06-23,2014-08-12,60.0,7.3,6466.0,6869,1045,15+ - Teens 15 or older,13387
Lovers of the Red Sky,16,2021-08-30,2021-10-26,70.0,8.2,11982.0,1475,373,15+ - Teens 15 or older,30796
Lovestruck in the City,17,2020-12-22,2021-02-16,33.0,7.9,19504.0,2796,208,15+ - Teens 15 or older,44488
Loving You a Thousand Times,12,2023-06-17,2023-07-23,70.0,8.4,20208.0,618,223,15+ - Teens 15 or older,42748
Lucifer,32,2020-07-01,2020-08-20,35.0,8.1,6543.0,1565,777,15+ - Teens 15 or older,17574
Lucky Romance,16,2016-05-25,2016-07-14,60.0,7.7,13049.0,3778,414,15+ - Teens 15 or older,28119
Ma Boy,3,2012-08-16,2012-08-30,60.0,7.3,9439.0,6978,869,15+ - Teens 15 or older,15910
Mackerel Run,174,1996-03-04,1996-11-08,35.0,10.0,1.0,99999,99999,Not Yet Rated,15
Mad Dog,16,2017-10-11,2017-11-30,60.0,8.4,12267.0,769,363,15+ - Teens 15 or older,31401
Mad for Each Other,13,2021-05-24,2021-06-21,35.0,8.5,17813.0,550,362,15+ - Teens 15 or older,31417
Madame Antoine: The Love Therapist,16,2016-01-22,2016-03-12,65.0,7.3,10277.0,7067,539,15+ - Teens 15 or older,23459
Magic Cellphone,10,2016-07-13,2016-09-14,10.0,5.8,670.0,9429,5348,13+ - Teens 13 or older,1722
Magic Kid Masuri,496,2002-02-18,2004-02-27,,7.7,6.0,72431,99999,Not Yet Rated,65
Make a Woman Cry,40,2015-04-18,2015-08-30,75.0,7.6,270.0,4969,6604,15+ - Teens 15 or older,1232
Make Your Wish,122,2014-06-23,2015-01-02,35.0,7.2,68.0,81722,11131,15+ - Teens 15 or older,485
Mama,24,2014-08-02,2014-10-19,65.0,8.2,753.0,1421,3583,15+ - Teens 15 or older,3167
Man from the Equator,20,2012-03-21,2012-05-24,65.0,7.4,1219.0,6329,3239,Not Yet Rated,3638
Man in a Veil,105,2020-09-07,2021-02-10,35.0,7.3,347.0,7277,5937,15+ - Teens 15 or older,1464
Man in the Kitchen,50,2017-09-02,2018-03-18,75.0,7.2,506.0,7521,4437,15+ - Teens 15 or older,2316
Man to Man,16,2017-04-21,2017-06-10,65.0,7.8,12601.0,3541,379,15+ - Teens 15 or older,30178
Man Who Dies to Live,24,2017-07-19,2017-08-24,35.0,7.1,353.0,7941,6198,15+ - Teens 15 or older,1363
Manhole,16,2017-08-09,2017-09-28,60.0,7.1,3325.0,7906,1500,15+ - Teens 15 or older,9216
Manny,16,2011-04-13,2011-06-02,65.0,6.5,1685.0,9256,3656,G - All Ages,3077
Marriage Contract,16,2016-03-05,2016-04-24,75.0,8.0,10813.0,2088,565,15+ - Teens 15 or older,22924
"Marriage, Not Dating",16,2014-07-04,2014-08-23,67.0,8.1,25893.0,1814,179,15+ - Teens 15 or older,49111
Marry Him If You Dare,16,2013-10-14,2013-12-03,63.0,6.5,6592.0,9212,964,15+ - Teens 15 or older,14643
Marry Me Now,50,2018-03-17,2018-09-09,70.0,7.9,1693.0,2734,2259,15+ - Teens 15 or older,5667
"Marry Me, Mary!",16,2007-05-16,2007-07-05,64.0,7.2,106.0,81038,9950,15+ - Teens 15 or older,600
Marrying a Millionaire,16,2005-11-26,2006-01-22,65.0,6.8,604.0,8918,5327,Not Yet Rated,1730
Marrying My Daughter Twice,120,2016-01-04,2016-06-17,40.0,7.2,163.0,80340,9673,15+ - Teens 15 or older,630
Mask,10,2017-03-24,2017-04-05,15.0,6.8,160.0,86466,7963,Not Yet Rated,902
Mask Girl,7,,,60.0,7.8,7776.0,3088,856,18+ Restricted (violence & profanity),16026
Master's Sun,17,2013-08-07,2013-10-03,62.0,8.5,45054.0,479,68,15+ - Teens 15 or older,82056
Matrimonial Chaos,32,2018-10-08,2018-11-27,35.0,7.9,1227.0,2956,2799,15+ - Teens 15 or older,4398
May I Help You?,16,2022-10-19,2022-12-22,70.0,8.2,7219.0,1344,582,15+ - Teens 15 or older,22193
May It Please the Court,12,2022-09-21,2022-10-26,65.0,8.2,2134.0,1158,2159,15+ - Teens 15 or older,5997
May Queen,38,2012-08-18,2012-12-23,67.0,7.5,2129.0,5702,2482,13+ - Teens 13 or older,5090
"Me Too, Flower!",15,2011-11-09,2011-12-28,70.0,7.5,8011.0,5630,902,15+ - Teens 15 or older,15512
Medical Top Team,20,2013-10-09,2013-12-12,60.0,7.2,2393.0,7833,1921,15+ - Teens 15 or older,6905
Melancholia,16,2021-11-10,2021-12-30,70.0,7.7,5621.0,4005,762,15+ - Teens 15 or older,17963
Melody of Love,151,2013-11-04,2014-06-06,35.0,6.8,435.0,8755,5572,Not Yet Rated,1621
Meloholic,10,2017-11-06,2017-12-05,60.0,7.4,5470.0,6557,1113,15+ - Teens 15 or older,12708
Melting Me Softly,16,2019-09-28,2019-11-17,65.0,7.6,22352.0,4631,141,15+ - Teens 15 or older,56122
