kdrama_name,episodes,start_airing,end_airing,duration,score,scored_by,ranked,popularity,content_rating,watchers
Becoming Witch,12,2022-06-25,2022-09-10,70.0,7.3,424.0,6844,4592,15+ - Teens 15 or older,2177
Behind Every Star,12,2022-11-07,2022-12-13,70.0,7.6,1779.0,4900,2483,15+ - Teens 15 or older,5089
Behind the White Tower,20,2007-01-06,2007-03-11,66.0,7.8,169.0,72112,7990,Not Yet Rated,897
Behind Your Touch,16,2023-08-12,2023-10-01,65.0,8.2,1994.0,1493,1012,15+ - Teens 15 or older,13939
Bel Ami,16,2013-11-20,2014-01-09,60.0,6.6,9290.0,9120,665,Not Yet Rated,19969
Best Chicken,12,2019-01-02,2019-02-07,65.0,7.2,1600.0,7355,2832,15+ - Teens 15 or older,4339
Beyond Evil,16,2021-02-19,2021-04-10,65.0,8.7,20688.0,192,171,15+ - Teens 15 or older,49830
Beyond the Clouds,16,2014-02-17,2014-04-08,60.0,7.6,1832.0,4909,2434,15+ - Teens 15 or older,5190
Big,16,2012-06-04,2012-07-24,65.0,7.0,17272.0,8268,329,15+ - Teens 15 or older,33776
Big Bet,8,2022-12-21,2023-01-25,60.0,7.5,689.0,5359,3503,18+ Restricted (violence & profanity),3264
Big Issue,32,2019-03-06,2019-05-02,35.0,7.9,1375.0,2635,2661,15+ - Teens 15 or older,4701
Big Man,16,2014-04-28,2014-06-17,60.0,7.2,2144.0,7509,2178,Not Yet Rated,5930
Big Mouth,16,2022-07-29,2022-09-17,71.0,8.6,20352.0,399,162,15+ - Teens 15 or older,52409
Big Thing,16,2022-07-29,2022-09-17,71.0,8.6,20352.0,399,162,15+ - Teens 15 or older,52409
"Billie Jean, Look at Me",26,2006-12-26,2007-02-06,64.0,7.0,41.0,83837,15457,Not Yet Rated,247
Birdie Buddy,24,2011-08-08,2011-10-25,45.0,6.6,1126.0,9109,4229,Not Yet Rated,2499
Birth of a Beauty,21,2014-11-01,2015-01-11,60.0,7.5,15158.0,5986,349,15+ - Teens 15 or older,32293
Birthcare Center,8,2020-11-02,2020-11-24,65.0,8.4,3843.0,778,1487,15+ - Teens 15 or older,9315
Bitter Sweet Life,7,,,15.0,6.7,8.0,87224,12150,Not Yet Rated,407
Bizarre Bunch,170,2005-09-26,2006-05-19,30.0,7.6,32.0,74319,99999,15+ - Teens 15 or older,138
Black,18,2017-10-14,2017-12-10,80.0,8.0,22053.0,1996,159,15+ - Teens 15 or older,52783
Black Dog: Being A Teacher,16,2019-12-16,2020-02-04,75.0,8.2,2451.0,1435,1751,15+ - Teens 15 or older,7664
Black Knight,6,,,42.0,8.2,10054.0,1497,576,15+ - Teens 15 or older,22418
Black Knight: The Man Who Guards Me,20,2017-12-06,2018-02-08,65.0,7.1,5169.0,7871,1004,15+ - Teens 15 or older,14043
Blade Man,18,2014-09-10,2014-11-13,60.0,6.9,6408.0,8644,807,15+ - Teens 15 or older,16976
Blessing of the Sea,121,2019-01-14,2019-07-12,35.0,7.2,119.0,82002,9179,15+ - Teens 15 or older,693
Blind,16,2022-09-16,2022-11-05,70.0,8.5,6245.0,473,666,15+ - Teens 15 or older,19969
