kdrama_name,imdb_rating,imdb_users,imdb_description
"['thriller', 'psychological', 'drama']",My Dangerous Wife,8.1,101
"['romance', 'family']",My Daughter the Flower,N/A,N/A
"['romance', 'drama', 'family']","My Daughter, Geum Sa-wol",7.7,38
"['mystery', 'comedy', 'romance', 'drama']",My Dear Cat,6.2,14
"['historical', 'romance', 'drama', 'melodrama']",My Dearest,8.9,441
"['romance', 'drama']",My Fair Lady,7.7,6
"['comedy', 'romance', 'drama']",My Father Is Strange,N/A,N/A
"['comedy', 'romance', 'crime', 'political']",My Fellow Citizens!,N/A,N/A
"['comedy', 'romance', 'life', 'youth']",My First First Love,7.5,"2,794"
"['comedy', 'romance', 'life', 'youth']",My First Love,N/A,N/A
"['comedy', 'romance', 'life']",My First Time,N/A,N/A
"['business', 'comedy', 'romance', 'drama']",My Golden Life,7.4,454
"['romance', 'life', 'drama']",My Healing Love,8.2,15
"['romance', 'drama', 'family', 'melodrama']",My Heart Twinkle Twinkle,6.1,25
"['romance', 'drama', 'sci-fi', 'melodrama']",My Holo Love,N/A,N/A
"['business', 'comedy', 'life', 'drama']",My Horrible Boss,N/A,N/A
"['comedy', 'romance', 'life', 'drama']",My Husband Got a Family,N/A,N/A
"['romance', 'life', 'drama', 'melodrama']",My Husband's Woman,N/A,N/A
"['drama', 'family']",My Kids Give Me a Headache,N/A,N/A
"['mystery', 'comedy', 'law']","My Lawyer, Mr. Jo",N/A,N/A
"['mystery', 'comedy', 'law', 'drama']",2,N/A,N/A
"['romance', 'life', 'drama', 'melodrama']",My Liberation Notes,N/A,N/A
"['comedy', 'romance', 'family']",My Little Baby,6.3,123
['family'],My Love By My Side,7.2,8
"['comedy', 'romance', 'drama', 'supernatural']",My Love from the Star,N/A,N/A
"['romance', 'drama']",My Love Patzzi,N/A,N/A
['romance'],My Love Toram,N/A,N/A
"['music', 'romance', 'drama']",My Lovely Girl,6.3,364
"['mystery', 'comedy', 'romance', 'supernatural']",My Lovely Liar,7.6,984
['drama'],My Lovely Sam Soon,N/A,N/A
"['romance', 'drama', 'family']","My Lover, Madame Butterfly",N/A,N/A
"['psychological', 'life', 'drama']",My Mister,9.1,"8,274"
"['comedy', 'drama', 'melodrama']",My Mother Is a Daughter-in-law,N/A,N/A
"['action', 'thriller', 'mystery', 'crime']",My Name,N/A,N/A
"['historical', 'comedy', 'romance', 'drama']",My Only Love Song,7.1,789
"['comedy', 'romance', 'drama']",My Only One,7.1,131
"['mystery', 'romance', 'drama', 'sci-fi']",My Perfect Stranger,8.1,571
"['comedy', 'romance', 'drama', 'supernatural']",My Precious You,N/A,N/A
"['comedy', 'romance', 'fantasy']",My Roommate Is a Gumiho,7.7,"3,969"
"['romance', 'melodrama']",My Rosy Life,N/A,N/A
"['comedy', 'romance', 'drama', 'supernatural']",My Runway,6.3,334
"['historical', 'comedy', 'romance']",My Sassy Girl,N/A,N/A
"['mystery', 'comedy', 'romance', 'drama']",My Secret Hotel,6.5,221
"['comedy', 'romance', 'life', 'drama']",My Secret Romance,7.1,"4,285"
"['action', 'mystery', 'comedy', 'romance']",My Secret Terrius,7.6,"1,445"
"['romance', 'melodrama']",My Spring Days,7.3,71
"['mystery', 'comedy', 'romance', 'youth']",My Strange Hero,7.3,"1,131"
"['comedy', 'romance', 'family']",My Too Perfect Sons,N/A,N/A
"['life', 'drama']",My Unfamiliar Family,7.5,223
"['romance', 'drama']",My Unfortunate Boyfriend,6,79
"['mystery', 'melodrama']",Mysterious Personal Shopper,7.6,20
"['mystery', 'comedy', 'drama', 'fantasy']",Mystic Pop-up Bar,8,"2,620"
"['music', 'comedy', 'romance', 'youth']",Naeil's Cantabile,N/A,N/A
"['action', 'thriller', 'mystery', 'drama']",Naked Fireman,N/A,N/A
"['action', 'thriller', 'crime']",Narco-Saints,N/A,N/A
"['life', 'drama']",Navillera,8.7,"2,806"
"['comedy', 'romance', 'drama', 'family']",Never Twice,8,94
"['romance', 'life', 'youth', 'drama']",Nevertheless,7.1,"7,815"
"['romance', 'medical']",New Heart,7.9,81
"['historical', 'drama']",New Tales of Gisaeng,N/A,N/A
"['comedy', 'romance', 'drama', 'melodrama']",Nice Witch,N/A,N/A
"['business', 'drama', 'political']",Night Light,6.8,340
"['mystery', 'romance', 'supernatural']",Nine,N/A,N/A
"['romance', 'drama', 'family']",No Matter What,N/A,N/A
"['comedy', 'romance', 'drama', 'melodrama']",No Secrets,N/A,N/A
"['comedy', 'romance', 'life', 'drama']","No, Thank You",N/A,N/A
"['comedy', 'romance']","Noble, My Love",N/A,N/A
"['thriller', 'mystery', 'drama', 'melodrama']",Nobody Knows,7.9,397
"['historical', 'romance', 'war', 'political']",Nokdu Flower,7.7,173
"['comedy', 'romance', 'drama', 'sitcom']",Nonstop,8.3,64
"['mystery', 'comedy', 'romance', 'drama']",Not Others,N/A,N/A
"['romance', 'drama', 'melodrama']","Now, We Are Breaking Up",6.4,"1,546"
"['action', 'thriller', 'mystery', 'drama']",Numbers,7.1,249
"['historical', 'romance', 'youth', 'drama']",Oasis,7.2,191
"['comedy', 'romance', 'sci-fi']",OB & GY,N/A,N/A
"['comedy', 'romance', 'drama']",Oh Feel Young,N/A,N/A
"['comedy', 'romance', 'drama', 'medical']",Oh My Baby,7,340
"['thriller', 'comedy', 'romance', 'supernatural']",Oh My Ghost,8,"4,927"
"['comedy', 'romance', 'fantasy', 'melodrama']",Oh My Ladylord,5.9,281
"['comedy', 'law', 'romance', 'life']",Oh My Venus,7.8,"6,022"
"['comedy', 'romance', 'fantasy', 'melodrama']",Oh! My Lady,6.9,237
"['thriller', 'romance', 'drama', 'fantasy']","Oh, the Mysterious",6.8,93
"['comedy', 'romance', 'drama', 'supernatural']",Ohlala Couple,N/A,N/A
"['comedy', 'romance', 'drama', 'melodrama']",Ojakgyo Family,N/A,N/A
"['romance', 'drama']",On Air,7.7,33
"['comedy', 'life', 'drama']",On the Verge of Insanity,7.6,89
"['romance', 'drama', 'melodrama']",On the Way to the Airport,7.3,161
"['romance', 'supernatural']",Once Again,8.2,490
"['comedy', 'romance', 'life']",Once Upon a Small Town,7,"1,444"
"['comedy', 'law', 'drama']",One Dollar Lawyer,7.9,"1,109"
['drama'],One Fine Day,N/A,N/A
"['comedy', 'romance', 'youth', 'drama']",One More Happy Ending,7.3,374
"['music', 'romance', 'youth', 'drama']",One More Time,N/A,N/A
"['thriller', 'mystery', 'law', 'crime']",One Ordinary Day,8.2,"2,773"
"['romance', 'life', 'drama', 'melodrama']",One Spring Night,7.9,"3,403"
"['romance', 'drama']",One Sunny Day,7.5,96
"['mystery', 'comedy', 'romance', 'drama']",One the Woman,7.1,599
"['life', 'drama', 'family', 'melodrama']",One Warm Word,7.1,68
"['business', 'romance', 'drama', 'melodrama']",One Well-Raised Daughter,7.2,44
"['romance', 'family']",Only Love,N/A,N/A
['life'],Only You,N/A,N/A
"['romance', 'drama', 'sports', 'fantasy']",Operation Proposal,6.8,159
"['historical', 'romance', 'drama', 'supernatural']",Orange Marmalade,6.3,660
"['romance', 'life', 'youth', 'drama']",Our Beloved Summer,8.2,"8,658"
"['historical', 'mystery', 'romance', 'drama']",Our Blooming Youth,7.7,622
"['romance', 'life', 'drama', 'melodrama']",Our Blues,8.6,"3,082"
"['business', 'romance']",Our Dating Sim,N/A,N/A
"['comedy', 'romance', 'family']",Our Gap-soon,6.6,49
"['music', 'romance', 'youth']",Over the Rainbow,N/A,N/A
"['historical', 'romance', 'drama', 'melodrama']",Pachinko,8.3,"10,688"
"['romance', 'life', 'melodrama', 'supernatural']",Padam Padam,7.6,246
"['thriller', 'mystery', 'romance', 'drama']",Pale Moon,7.4,16
"['action', 'thriller', 'drama', 'melodrama']",Pandora: Beneath the Paradise,6.3,234
"['romance', 'drama', 'melodrama']",Papa,N/A,N/A
"['thriller', 'mystery', 'law', 'medical']",Partners for Justice,N/A,N/A
"['business', 'romance', 'family', 'melodrama']",Passionate Love,7,26
"['thriller', 'mystery', 'business', 'drama']",Payback,7.3,253
"['business', 'comedy', 'drama']",Pegasus Market,7.6,106
"['comedy', 'romance', 'melodrama', 'supernatural']",Perfume,7.1,233
"['thriller', 'romance', 'drama']",Persona,N/A,N/A
"['comedy', 'romance', 'life', 'youth']",Personal Taste,7.4,"4,712"
"['action', 'youth', 'fantasy']",Phantom,N/A,N/A
"['romance', 'drama']",Phoenix,7.9,68
"['business', 'romance', 'drama', 'melodrama']",2020,5.5,9
"['romance', 'melodrama']",Piano,N/A,N/A
"['action', 'thriller', 'mystery', 'drama']",Pied Piper,7.3,68
"['romance', 'drama', 'melodrama']",Pink Lipstick,7.6,24
"['thriller', 'mystery', 'comedy', 'romance']",Pinocchio,8.1,"8,361"
"['action', 'thriller', 'mystery', 'comedy']",Player,7.8,390
"['comedy', 'romance', 'supernatural']","Please Come Back, Soon-ae",7.1,8
"['comedy', 'romance', 'drama', 'sci-fi']",Please Don't Date Him,6.8,216
['romance'],Plus Nine Boys,N/A,N/A
"['mystery', 'comedy', 'romance', 'drama']",Police University,7.2,874
"['historical', 'mystery', 'romance', 'medical']","Poong, the Joseon Psychiatrist",7.2,260
"['action', 'military', 'mystery', 'romance']",Poseidon,5.7,41
"['mystery', 'horror', 'romance', 'supernatural']",Possessed,N/A,N/A
"['comedy', 'romance', 'fantasy', 'sitcom']",2013,8.2,91
"['business', 'romance', 'family']",Pots of Gold,N/A,N/A
"['romance', 'drama']",Precious Family,8,9
"['mystery', 'law', 'romance']",Pride and Prejudice,6.9,212
"['thriller', 'horror', 'romance', 'drama']",Priest,7.1,140
"['comedy', 'romance', 'drama']",Prime Minister & I,N/A,N/A
"['comedy', 'romance', 'drama']",Prince Hours,N/A,N/A
"['comedy', 'romance', 'drama', 'family']",Princess Aurora,8,27
"['comedy', 'romance', 'drama']",Princess Hours,N/A,N/A
"['action', 'historical', 'romance', 'political']",Princess Lulu,N/A,N/A
"['comedy', 'crime', 'life', 'drama']",Prison Playbook,8.4,"4,354"
"['thriller', 'mystery', 'romance', 'crime']",Private Lives,6.5,746
"['comedy', 'romance', 'drama']",Prosecutor Princess,7,305
"['business', 'comedy', 'romance', 'melodrama']",Protect the Boss,6.9,701
"['thriller', 'mystery', 'comedy', 'crime']",Psychopath Diary,7.8,713
"['thriller', 'drama', 'political']",Punch,7.5,15
"['romance', 'youth', 'drama', 'sports']",Pure Boxer,N/A,N/A
"['comedy', 'drama', 'family', 'melodrama']",Pure Love,N/A,N/A
"['drama', 'melodrama']",Pure Pumpkin Flower,N/A,N/A
"['romance', 'drama', 'melodrama']",Que Sera Sera,N/A,N/A
"['historical', 'comedy', 'romance', 'fantasy']",Queen and I,N/A,N/A
"['historical', 'romance', 'melodrama', 'political']",Queen for Seven Days,N/A,N/A
"['action', 'mystery', 'comedy', 'drama']",Queen of Housewives,N/A,N/A
"['action', 'mystery', 'comedy', 'drama']",Queen of Mystery,N/A,N/A
"['action', 'mystery', 'comedy', 'drama']",2,N/A,N/A
"['action', 'mystery', 'comedy', 'drama']",Queen of Reversals,7.5,35
"['thriller', 'mystery', 'drama', 'melodrama']",Queen of Masks,6.1,30
['drama'],Queen Seondeok,N/A,N/A
"['historical', 'romance', 'fantasy', 'political']",Queen: Love and War,7.5,206
"['business', 'drama', 'political']",Queenmaker,7.5,"1,111"
"['mystery', 'drama', 'medical']",Quiz of God,N/A,N/A
"['comedy', 'life', 'drama', 'sports']",Racket Boys,4.5,"27,895"
"['business', 'comedy', 'romance', 'drama']",Radiant Office,6.9,222
"['business', 'comedy', 'romance']",Radio Romance,6.7,"1,041"
"['psychological', 'romance', 'melodrama']",Rain or Shine,N/A,N/A
"['business', 'drama', 'fantasy', 'political']",Reborn Rich,8.1,"3,428"
"['romance', 'life', 'youth', 'drama']",Record of Youth,7.2,"3,059"
"['comedy', 'life', 'drama']",Red Balloon,5.7,65
"['romance', 'drama', 'family', 'melodrama']",Red Shoes,N/A,N/A
"['thriller', 'mystery', 'drama', 'melodrama']",Reflection of You,6.7,375
"['mystery', 'drama', 'melodrama']",Remarriage & Desires,7.3,"1,850"
"['romance', 'drama']",Remember,N/A,N/A
"['mystery', 'horror', 'romance', 'supernatural']","Remember, Hari",N/A,N/A
"['music', 'romance', 'youth', 'drama']",Replay: The Moment,N/A,N/A
"['comedy', 'romance', 'life', 'youth']",1988,9.2,"9,542"
"['comedy', 'romance', 'drama', 'sports']",1994,7.7,"1,571"
"['comedy', 'romance', 'life']",1997,7.9,"2,356"
"['mystery', 'drama']",Reset,7.1,57
"['thriller', 'romance', 'drama']",Resurrection,N/A,N/A
"['thriller', 'mystery', 'law']",Return,7.3,94
"['romance', 'drama', 'melodrama', 'supernatural']",Reunited Worlds,7.3,319
"['thriller', 'mystery', 'horror', 'supernatural']",Revenant,8,"1,876"
"['action', 'thriller', 'mystery', 'drama']",Revenge of Others,7.6,"2,319"
"['romance', 'life', 'youth']",Reverse,N/A,N/A
"['business', 'comedy', 'romance', 'drama']",Revolutionary Love,N/A,N/A
"['thriller', 'comedy', 'romance', 'drama']",Revolutionary Sisters,6.3,47
"['business', 'comedy', 'romance', 'melodrama']",Rich Man,6.7,832
"['romance', 'life', 'drama', 'family']",Righteous Love,N/A,N/A
"['comedy', 'romance', 'medical']",Risky Romance,6.8,106
"['action', 'historical', 'romance', 'political']",River Where the Moon Rises,7.5,521
"['romance', 'crime', 'drama', 'melodrama']",Robber,7,53
"['romance', 'drama', 'melodrama']",Romance,6.8,40
"['business', 'comedy', 'romance', 'melodrama']",Romance Is a Bonus Book,8,"7,000"
"['comedy', 'romance', 'drama', 'family']",Romance Town,6.1,18
"['romance', 'drama', 'melodrama']",Romance Zero,N/A,N/A
"['historical', 'comedy', 'romance', 'fantasy']",Rooftop Prince,7.7,"2,866"
"['historical', 'comedy', 'romance', 'drama']",Rookie Historian Goo Hae-ryung,8.1,"2,763"
"['romance', 'life', 'youth', 'drama']",Rookie Cops,7.4,975
"['mystery', 'drama', 'fantasy']",9,7.1,111
"['thriller', 'mystery']",Rose Mansion,6.9,67
"['romance', 'family']",Rosy Lovers,8.2,65
"['historical', 'mystery', 'comedy', 'romance']",Royal Secret Agent,7.3,349
"['historical', 'romance', 'drama']",Royal Story: Jang Hui-bin,N/A,N/A
"['romance', 'drama', 'melodrama']",Ruby Ring,6.6,18
"['romance', 'drama', 'melodrama']",Ruby Ruby Love,N/A,N/A
"['action', 'thriller', 'crime', 'sci-fi']",Rugal,6.2,"1,186"
"['romance', 'drama']",Ruler of Your Own World,8.6,79
"['comedy', 'youth', 'drama', 'political']",Running Mate,N/A,N/A
"['romance', 'life', 'drama', 'sports']",Run On,7.4,"4,593"
"['food', 'romance']","Run, Jang-mi",7.6,10
"['thriller', 'historical', 'drama']",Rustic Period,N/A,N/A
"['romance', 'life', 'drama', 'melodrama']",Sad Love Story,N/A,N/A
"['historical', 'mystery', 'romance', 'melodrama']","Saimdang, Memoir of Colors",N/A,N/A
"['comedy', 'drama', 'sitcom']",Salamander Guru and The Shadows,N/A,N/A
['romance'],Salut D'Amour,N/A,N/A
"['action', 'romance', 'drama', 'political']",Sandglass,8.4,56
"['food', 'comedy', 'romance', 'drama']",Sang Doo! Let's Go to School,N/A,N/A
"['historical', 'comedy', 'romance']",Sassy Girl Chun-hyang,N/A,N/A
"['action', 'thriller', 'mystery', 'drama']",Save Me,7.9,"1,741"
"['thriller', 'mystery', 'psychological']",2,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']",Save the Family,6.7,9
"['romance', 'drama']",Save the Last Dance for Me,8.1,100
"['romance', 'drama']",Say It with Your Eyes,N/A,N/A
"['comedy', 'romance', 'life', 'melodrama']",Scent of a Woman,7.8,575
"['mystery', 'youth', 'drama']",2013,7.7,590
"['mystery', 'comedy', 'romance', 'youth']",2017,7.4,"1,832"
"['romance', 'youth', 'drama', 'melodrama']",2021,7.4,365
"['mystery', 'romance', 'youth', 'drama']",2015,7.6,"2,437"
"['mystery', 'life', 'youth', 'drama']",Schoolgirl Detectives,N/A,N/A
"['military', 'thriller', 'mystery', 'horror']",Search,7,516
"['business', 'comedy', 'romance', 'drama']",Search: WWW,7.8,"1,831"
"['comedy', 'romance', 'life', 'drama']",20,7.5,375
"['romance', 'life', 'drama']",Second to Last Love,7.3,76
"['romance', 'drama', 'melodrama']",Secret,N/A,N/A
"['music', 'romance', 'drama', 'melodrama']",Secret Affair,N/A,N/A
"['romance', 'drama', 'melodrama', 'political']",Secret Boutique,7,40
"['historical', 'mystery', 'drama', 'political']",Secret Door,7.5,114
"['historical', 'romance', 'medical', 'fantasy']",Secret Healer,N/A,N/A
"['romance', 'drama', 'fantasy', 'melodrama']",Secret Love,8,"1,405"
"['thriller', 'mystery', 'psychological', 'drama']",Secret Mother,8.1,47
['historical'],Secret Queen Makers,N/A,N/A
"['historical', 'mystery', 'comedy', 'romance']",Secret Royal Inspector & Joy,N/A,N/A
"['business', 'romance', 'melodrama']",Secrets and Lies,5.3,8
"['romance', 'drama', 'melodrama']",Secrets of Women,6.5,12
"['comedy', 'romance', 'drama', 'fantasy']",19,7.7,"6,667"
"['thriller', 'mystery', 'comedy', 'fantasy']",Sell Your Haunted House,7.6,"1,280"
"['comedy', 'romance', 'life', 'youth']",Semantic Error,N/A,N/A
"['historical', 'drama']",1945,6.3,9
"['comedy', 'romance', 'drama', 'melodrama']","Seoyoung, My Daughter",N/A,N/A
"['comedy', 'romance', 'life', 'youth']",Sharp,8.5,22
"['mystery', 'psychological', 'crime', 'drama']",She Knows Everything,6.1,52
"['comedy', 'romance', 'drama']",She Was Pretty,7.6,"5,815"
"['business', 'comedy', 'romance', 'drama']",She Would Never Know,7.5,"1,524"
"['historical', 'romance', 'supernatural', 'political']",Shine or Go Crazy,7.3,253
"['romance', 'family']",Shining Romance,N/A,N/A
"['comedy', 'romance', 'drama']",Shooting Stars,7.6,"2,508"
"['comedy', 'romance', 'life', 'drama']",Shopping King Louie,7.5,"1,484"
"['comedy', 'romance', 'life', 'sports']",Short,N/A,N/A
"['comedy', 'romance', 'life', 'melodrama']",Should We Kiss First?,N/A,N/A
"['thriller', 'mystery', 'romance', 'drama']",Show Window: The Queen's House,N/A,N/A
"['thriller', 'mystery', 'sci-fi']",Sign,7.6,75
"['thriller', 'mystery', 'sci-fi']",Signal,8.5,"8,621"
"['historical', 'drama', 'political']",Sin Don,N/A,N/A
"['romance', 'family', 'melodrama']",Single Dad in Love,N/A,N/A
['romance'],Sisters of the Sea,N/A,N/A
"['action', 'thriller', 'mystery', 'sci-fi']",Sisyphus: The Myth,N/A,N/A
"['action', 'historical', 'drama', 'political']",Six Flying Dragons,N/A,N/A
"['action', 'thriller', 'mystery', 'supernatural']",Sketch,7.5,252
"['mystery', 'psychological', 'drama']",Sky Castle,8.6,"3,792"
"['romance', 'drama', 'sports', 'melodrama']",Smile Again,7.2,30
['romance'],"Smile, Mom",N/A,N/A
"['romance', 'drama']",Snow Flower,N/A,N/A
"['romance', 'drama', 'melodrama', 'political']",Snowdrop,8.1,"11,767"
"['music', 'comedy', 'romance']",So I Married the Anti-fan,N/A,N/A
"['comedy', 'romance', 'youth', 'sitcom']",So Not Worth It,7,"1,315"
"['law', 'youth', 'drama']",Solomon's Perjury,7.4,258
"['thriller', 'mystery', 'psychological', 'mature']",Somebody,8.2,11
"['romance', 'life', 'youth']",Someday,7.7,22
"['comedy', 'romance', 'drama']",1,7.7,"1,412"
"['romance', 'drama', 'melodrama']",Something Happened in Bali,N/A,N/A
"['romance', 'life', 'drama', 'melodrama']",Something in the Rain,8.1,"7,898"
"['action', 'thriller', 'historical', 'drama']",Song of the Bandits,7.2,"1,158"
"['life', 'drama']",Songgot: The Piercer,N/A,N/A
"['comedy', 'romance', 'drama', 'medical']",Soul,7.5,60
"['comedy', 'romance', 'drama', 'medical']",Soul Mechanic,7.4,161
"['music', 'romance']",Soundtrack,N/A,N/A
"['action', 'mystery', 'psychological']",Special Affairs Team TEN,7.7,137
"['action', 'business', 'comedy', 'drama']",Special Labor Inspector,N/A,N/A
"['romance', 'drama', 'melodrama']",Splash Splash Love,N/A,N/A
"['historical', 'drama', 'political']",Splendid Politics,6.9,125
"['thriller', 'romance', 'drama']",Sponsor,5.2,27
"['mystery', 'business', 'law', 'political']",Spotlight,7.3,32
"['romance', 'drama']",Spring Day,N/A,N/A
"['business', 'comedy', 'drama', 'fantasy']",Spring Turns to Spring,N/A,N/A
"['thriller', 'romance', 'crime', 'political']",Spy,6.3,61
"['action', 'comedy', 'romance', 'crime']",Spy Myung-wol,6.8,141
"['mystery', 'comedy', 'crime', 'drama']",38,7.6,506
"['action', 'thriller', 'mystery', 'drama']",Squid Game,8,"500,403"
"['romance', 'drama']",Stained Glass,N/A,N/A
"['business', 'comedy', 'sitcom']",Standby,8.9,69
"['romance', 'drama', 'family']",Star in My Heart,N/A,N/A
"['thriller', 'mystery', 'romance', 'drama']",Stars Falling from the Sky,7.1,125
"['youth', 'drama']",Start-Up,8,"13,097"
"['music', 'romance']",Star's Echo,N/A,N/A
"['comedy', 'romance', 'drama', 'supernatural']",Star's Lover,6.7,27
"['comedy', 'romance', 'crime', 'drama']",Steal Heart,N/A,N/A
"['action', 'adventure', 'mystery', 'comedy']",Stealer: The Treasure Keeper,6.4,162
"['music', 'mystery', 'comedy', 'romance']",17,7.9,"2,464"
['romance'],Still You,N/A,N/A
"['thriller', 'mystery', 'law', 'drama']",Stranger,8.5,"9,563"
"['law', 'romance', 'drama']",Strangers Again,6.4,216
"['action', 'comedy', 'romance', 'supernatural']",Strong Girl Bong-soon,8.2,"15,458"
"['action', 'comedy', 'romance', 'supernatural']",Strong Woman Gang Nam-soon,N/A,N/A
"['business', 'comedy', 'romance', 'life']",Strongest Chil Woo,7,42
"['business', 'comedy', 'romance', 'life']",Strongest Deliveryman,7.3,918
"['comedy', 'romance', 'drama', 'family']",Successful Story of a Bright Girl,7,122
"['action', 'business', 'law', 'drama']",Suits,N/A,N/A
"['romance', 'life', 'drama', 'melodrama']",Summer Strike,7.8,"1,457"
"['romance', 'youth']",Sungkyunkwan Scandal,7.8,"1,773"
"['romance', 'drama']",Sunlight Pours Down,N/A,N/A
"['romance', 'drama']",Sunny Again Tomorrow,N/A,N/A
"['comedy', 'romance', 'drama', 'medical']",Super Daddy Yeol,7.4,67
"['action', 'comedy', 'crime', 'drama']",Super Rookie,N/A,N/A
"['romance', 'drama', 'medical', 'melodrama']",Surgeon Bong Dal-hee,7.4,34
"['thriller', 'comedy', 'law', 'romance']",Suspicious Partner,7.8,"6,354"
"['comedy', 'romance', 'drama', 'supernatural']",Sweden Laundry,6.3,49
"['comedy', 'romance', 'life', 'drama']",18,N/A,N/A
"['comedy', 'romance']",Sweet Buns,N/A,N/A
"['romance', 'drama', 'melodrama']",Sweet Enemy,6.9,8
"['action', 'horror', 'drama', 'sci-fi']",Sweet Home,7.3,"26,618"
"['romance', 'drama', 'family', 'melodrama']","Sweet Home, Sweet Honey",6,8
"['food', 'comedy', 'romance', 'life']",Sweet Munchies,6.2,117
"['comedy', 'romance', 'youth', 'fantasy']",Sweet Revenge,N/A,N/A
"['thriller', 'mystery', 'romance', 'supernatural']",2,N/A,N/A
"['action', 'comedy', 'romance']",Sweet Spy,N/A,N/A
"['comedy', 'romance', 'life', 'drama']",Sweet Stranger and Me,N/A,N/A
"['action', 'comedy', 'romance', 'drama']","Sweet, Savage Family",6.5,16
"['thriller', 'mystery', 'comedy', 'law']",Switch,N/A,N/A
"['romance', 'drama', 'medical']",Syndrome,7.4,18
['historical'],Taejo Wang Geon,8.5,22
"['romance', 'drama']","Take Care of Us, Captain",7.3,95
"['comedy', 'romance', 'drama', 'fantasy']",Tale of Fairy,N/A,N/A
"['thriller', 'horror', 'romance', 'fantasy']",Tale of the Nine Tailed,7.9,"7,170"
"['historical', 'horror', 'romance', 'fantasy']",1938,N/A,N/A
['drama'],Tasty Life,N/A,N/A
"['action', 'thriller', 'crime', 'drama']",Taxi Driver,8,"4,836"
"['action', 'adventure', 'thriller', 'romance']",Tazza,7.8,82
"['action', 'mystery', 'comedy', 'drama']",Team Bulldog: Off-Duty Investigation,N/A,N/A
"['romance', 'drama']",Tears of Heaven,N/A,N/A
['historical'],Tears of the Dragon,N/A,N/A
"['thriller', 'mystery']",Tell Me What You Saw,7.6,942
"['food', 'comedy', 'romance', 'life']",Temperature of Love,7,609
"['romance', 'drama', 'melodrama']",Temptation,7.1,83
"['romance', 'drama', 'melodrama']",Temptation of Wife,7.5,90
"['romance', 'youth', 'drama', 'melodrama']",Tempted,7.1,"2,142"
"['comedy', 'romance', 'drama']",Terroir,7.5,8
"['comedy', 'romance', 'family', 'medical']",Thank You,7.6,239
"['romance', 'crime', 'melodrama']","That Winter, the Wind Blows",N/A,N/A
"['thriller', 'drama', 'melodrama']",101,N/A,N/A
"['romance', 'drama', 'family', 'sitcom']",The Accidental Couple,N/A,N/A
"['drama', 'family', 'melodrama']",The All-Round Wife,N/A,N/A
"['business', 'drama', 'political']",The Banker,6.7,18
"['comedy', 'romance', 'melodrama', 'supernatural']",The Beauty Inside,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']",The Birth of a Family,7.9,10
"['action', 'historical', 'romance', 'drama']",The Blade and Petal,7.1,41
"['comedy', 'romance', 'drama', 'fantasy']",The Bride of Habaek,6.9,"3,616"
"['action', 'thriller', 'mystery']",The Chaser,7.7,61
"['romance', 'drama', 'family']",The Clinic for Married Couples: Love and War,N/A,N/A
"['thriller', 'mystery', 'horror', 'supernatural']",The Cursed,7.1,640
"['historical', 'romance', 'melodrama', 'political']",The Crowned Clown,8,"1,372"
"['historical', 'drama', 'political']",The Dawn of the Empire,N/A,N/A
"['thriller', 'mystery', 'comedy', 'drama']",The Day of the Kidnapping,N/A,N/A
"['mystery', 'law', 'crime', 'drama']",The Devil Judge,8.3,"3,702"
"['comedy', 'romance', 'drama', 'medical']",The Doctors,N/A,N/A
"['action', 'thriller', 'mystery', 'drama']",The Duo,6.7,36
"['drama', 'family']",The Eldest,N/A,N/A
"['historical', 'romance', 'drama', 'political']",The Emperor: Owner of the Mask,7.3,707
"['law', 'drama', 'melodrama']",The Empire,7.2,27
"['mystery', 'drama', 'medical']",The End of the World,6.4,8
"['thriller', 'mystery', 'drama']",The Escape of the Seven,8.3,29
"['business', 'comedy', 'romance', 'life']",The Fabulous,6.5,"1,248"
"['comedy', 'romance', 'family']",The Family is Coming,6.1,16
"['action', 'mystery', 'comedy', 'crime']",The Fiery Priest,8.2,"1,415"
"['action', 'thriller', 'mystery', 'drama']",The First Responders,8,910
"['historical', 'mystery', 'comedy', 'romance']",The Forbidden Marriage,7.5,664
"['thriller', 'historical', 'romance', 'medical']",The Fugitive of Joseon,7.9,103
"['action', 'thriller', 'psychological', 'romance']",The Fugitive: Plan B,6.9,284
"['thriller', 'mystery', 'psychological', 'supernatural']",The Game: Towards Zero,7.1,323
"['comedy', 'romance', 'life', 'drama']",The Gentlemen of Wolgyesu Tailor Shop,N/A,N/A
"['thriller', 'mystery', 'horror', 'supernatural']",The Ghost Detective,6.8,207
"['thriller', 'drama', 'melodrama']",The Glory,8.1,"21,923"
"['psychological', 'drama', 'fantasy', 'supernatural']",The Golden Garden,N/A,N/A
"['psychological', 'drama', 'fantasy', 'supernatural']",The Golden Spoon,7.6,"1,062"
"['comedy', 'life', 'drama', 'family']",The Good Bad Mother,8.4,"3,338"
"['action', 'thriller', 'mystery', 'drama']",The Good Detective,7.6,"1,272"
"['law', 'romance', 'drama', 'political']",The Good Wife,7,146
['historical'],"The Great King, Sejong",N/A,N/A
"['historical', 'romance', 'drama']",The Great Merchant,6.5,18
"['historical', 'romance', 'supernatural', 'war']",The Great Seer,7.7,82
