kdrama_name,imdb_rating,imdb_users,imdb_description
"['comedy', 'romance', 'youth', 'drama']",Doona!,N/A,N/A
['drama'],Drama City: What Should I Do?,N/A,N/A
['youth'],Puberty Medley,N/A,N/A
"['action', 'drama']","Rock, Rock, Rock",N/A,N/A
['drama'],White Christmas,N/A,N/A
"['romance', 'drama', 'family', 'melodrama']",The Apartment Is Beautiful,N/A,N/A
"['romance', 'sports', 'melodrama']",Dream,5.8,20
"['music', 'comedy', 'romance', 'youth']",Dream High,7.6,"3,339"
"['music', 'comedy', 'romance', 'youth']",2,N/A,N/A
"['historical', 'drama']",Dream of the Emperor,N/A,N/A
"['food', 'comedy', 'romance']",Drinking Solo,6.9,254
"['thriller', 'mystery', 'sci-fi', 'medical']",Dr. Brain,6.7,"2,716"
"['mystery', 'psychological', 'drama', 'medical']",Dr. Frost,N/A,N/A
['romance'],Dr. Ian,N/A,N/A
"['historical', 'romance', 'medical', 'fantasy']",Dr. Jin,6.5,270
"['action', 'thriller', 'romance', 'medical']",Dr. Kkang,N/A,N/A
"['comedy', 'medical']",Dr. Park's Clinic,N/A,N/A
"['romance', 'drama', 'medical']",Dr. Romantic,8.4,"3,826"
"['thriller', 'mystery', 'sci-fi']",Duel,7.6,296
"['comedy', 'drama', 'family', 'melodrama']",Dummy Mommy,N/A,N/A
"['action', 'thriller', 'drama', 'sci-fi']",Duty After School,N/A,N/A
"['food', 'comedy', 'romance', 'melodrama']",Eccentric! Chef Moon,7.2,81
"['historical', 'mystery', 'drama']","Eight Days, Assassination Attempts against King Jeongjo",N/A,N/A
"['comedy', 'romance', 'life', 'drama']","Eighteen, Twenty-Nine",N/A,N/A
"['comedy', 'romance', 'drama', 'medical']",Emergency Couple,7.4,"1,812"
"['action', 'historical', 'drama', 'war']",Emperor of the Sea,8,"1,375"
"['business', 'drama']",Empire of Gold,7.8,50
"['historical', 'romance', 'melodrama', 'political']",Empress Cheonchu,N/A,N/A
"['historical', 'romance', 'melodrama', 'political']",Empress Ki,N/A,N/A
"['historical', 'drama']",Empress Myeongseong,8.6,13
"['romance', 'family', 'melodrama']",Enchanting Neighbor,N/A,N/A
['drama'],Encounter,7.6,"2,093"
"['action', 'romance', 'drama', 'melodrama']",Endless Love,7.2,41
"['action', 'romance', 'drama', 'melodrama']",Endless Love Series,N/A,N/A
"['romance', 'melodrama']",Spring Waltz,N/A,N/A
"['romance', 'melodrama']",Summer Scent,6.9,228
"['romance', 'family', 'melodrama']",Enemies from the Past,6.2,9
"['music', 'business', 'comedy', 'drama']",Entertainer,6.6,380
"['business', 'comedy', 'drama']",Entourage,5.4,170
"['action', 'tokusatsu', 'sci-fi', 'fantasy']",Erexion,N/A,N/A
"['romance', 'drama', 'melodrama']",Eve,7.4,"1,033"
"['comedy', 'romance', 'fantasy']",Evergreen,N/A,N/A
['drama'],Everybody Say Kimchi,N/A,N/A
"['music', 'comedy', 'romance']",Exo Next Door,7,"1,660"
"['psychological', 'crime', 'youth', 'drama']",Extracurricular,7.6,"8,534"
"['law', 'romance', 'life', 'drama']",Extraordinary Attorney Woo,8.6,"22,458"
"['comedy', 'romance', 'youth', 'fantasy']",Extraordinary You,7.8,"4,346"
"['comedy', 'romance', 'drama']",Ex-Girlfriends' Club,N/A,N/A
"['action', 'historical', 'romance', 'drama']",Eyes of Dawn,N/A,N/A
"['historical', 'romance', 'medical', 'supernatural']",Faith,N/A,N/A
"['comedy', 'romance', 'drama']",Falling for Challenge,N/A,N/A
"['comedy', 'romance', 'drama', 'fantasy']",Familiar Wife,7.6,"1,435"
"['drama', 'family']",Family,6.4,268
"['drama', 'family', 'melodrama']",Family Secret,N/A,N/A
"['comedy', 'romance', 'drama']",Family's Honor,8.4,30
"['action', 'thriller', 'comedy', 'drama']",Family: The Unbreakable Bond,N/A,N/A
"['comedy', 'romance']",Fanletter Please,N/A,N/A
"['comedy', 'romance', 'drama', 'medical']",Fantastic,7.3,155
"['romance', 'drama', 'family', 'melodrama']",70,N/A,N/A
"['romance', 'drama', 'melodrama']",Fashion King,5.8,272
"['romance', 'drama', 'family', 'melodrama']",Fatal Promise,N/A,N/A
"['romance', 'drama', 'melodrama']",Fates & Furies,N/A,N/A
"['romance', 'drama', 'melodrama']","Father, I'll Take Care of You",7.9,81
"['drama', 'family']",Father's House,N/A,N/A
"['comedy', 'romance', 'drama', 'melodrama']",Feast of the Gods,7.4,39
