kdrama_name,genre
"['action', 'thriller', 'mystery', 'supernatural']", adapted from a webtoon
"['action', 'thriller', 'mystery', 'supernatural']", suspense
"['action', 'thriller', 'mystery', 'supernatural']", student male lead
"['action', 'thriller', 'mystery', 'supernatural']", school setting
"['action', 'thriller', 'mystery', 'supernatural']", teenager male lead 
"['mystery', 'law', 'drama', 'fantasy']",time travel
"['mystery', 'law', 'drama', 'fantasy']", fight for justice
"['mystery', 'law', 'drama', 'fantasy']", death
"['mystery', 'law', 'drama', 'fantasy']", prosecutor male lead
"['mystery', 'law', 'drama', 'fantasy']", second chance
"['mystery', 'law', 'drama', 'fantasy']", strong male lead
"['mystery', 'law', 'drama', 'fantasy']", corruption
"['mystery', 'law', 'drama', 'fantasy']", violence
"['mystery', 'law', 'drama', 'fantasy']", investigation
"['mystery', 'law', 'drama', 'fantasy']", bullied male lead 
"['military', 'historical', 'drama', 'political']",goryeo dynasty
"['military', 'historical', 'drama', 'political']", historical fiction
"['military', 'historical', 'drama', 'political']", inspired by real events 
"['business', 'life', 'drama']",workplace setting
"['business', 'life', 'drama']", office setting
"['business', 'life', 'drama']", office worker female lead
"['business', 'life', 'drama']", successful female lead
"['business', 'life', 'drama']", hardworking female lead
"['business', 'life', 'drama']", orphan female lead
"['business', 'life', 'drama']", mental illness
"['business', 'life', 'drama']", teamwork
"['business', 'life', 'drama']", strong female lead 
"['action', 'romance', 'drama']",airport setting
"['action', 'romance', 'drama']", agent male lead 
"['action', 'historical', 'romance', 'fantasy']",transmigration
"['action', 'historical', 'romance', 'fantasy']", masterdisciple relationship
"['action', 'historical', 'romance', 'fantasy']", multiple mains
"['action', 'historical', 'romance', 'fantasy']", hidden identity
"['action', 'historical', 'romance', 'fantasy']", supernatural
"['action', 'historical', 'romance', 'fantasy']", body swap
"['action', 'historical', 'romance', 'fantasy']", elemental power
"['action', 'historical', 'romance', 'fantasy']", strong female lead
"['action', 'historical', 'romance', 'fantasy']", fake identity
"['action', 'historical', 'romance', 'fantasy']", comedy 
"['mystery', 'sci-fi', 'fantasy', 'melodrama']",time travel
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", motherson relationship
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", double identity
"['mystery', 'sci-fi', 'fantasy', 'melodrama']", alexithymia
