kdrama_name,day
"['action', 'mystery', 'comedy', 'law']", thursday
"['thriller', 'comedy', 'law', 'romance']",saturday
"['thriller', 'comedy', 'law', 'romance']", sunday
['drama'],monday
['drama'], tuesday
['drama'], wednesday
['drama'], thursday
['drama'], friday
"['historical', 'romance']",monday
"['historical', 'romance']", tuesday
"['romance', 'drama', 'melodrama']",saturday
"['romance', 'drama']",NA
"['historical', 'romance', 'drama', 'sports']",monday
"['historical', 'romance', 'drama', 'sports']", tuesday
"['thriller', 'mystery', 'drama']",wednesday
"['thriller', 'mystery', 'drama']", thursday
"['comedy', 'romance', 'life', 'melodrama']",friday
"['comedy', 'romance', 'life', 'melodrama']", saturday
"['comedy', 'romance', 'drama', 'family']",monday
"['comedy', 'romance', 'drama', 'family']", tuesday
"['comedy', 'romance', 'drama', 'family']", wednesday
"['comedy', 'romance', 'drama', 'family']", thursday
"['comedy', 'romance', 'drama', 'family']", friday
"['comedy', 'romance', 'drama']",NA
"['comedy', 'romance', 'drama', 'family']",monday
"['comedy', 'romance', 'drama', 'family']", tuesday
"['comedy', 'romance', 'drama', 'family']", wednesday
"['comedy', 'romance', 'drama', 'family']", thursday
"['comedy', 'romance', 'drama', 'family']", friday
"['business', 'comedy', 'romance', 'drama']",friday
"['business', 'comedy', 'romance', 'drama']", saturday
"['romance', 'life', 'drama']",saturday
"['romance', 'life', 'drama']", sunday
"['romance', 'drama']",monday
"['romance', 'drama']", tuesday
"['romance', 'drama']", wednesday
"['romance', 'drama']", thursday
"['romance', 'drama']", friday
"['comedy', 'romance', 'drama']",saturday
"['comedy', 'romance', 'drama']", sunday
"['comedy', 'romance', 'drama', 'melodrama']",saturday
"['comedy', 'romance', 'drama', 'melodrama']", sunday
"['thriller', 'mystery', 'life', 'melodrama']",friday
"['thriller', 'mystery', 'life', 'melodrama']", saturday
"['comedy', 'romance', 'life', 'drama']",monday
"['comedy', 'romance', 'life', 'drama']", tuesday
"['comedy', 'romance', 'life', 'drama']",monday
"['comedy', 'romance', 'life', 'drama']", tuesday
"['comedy', 'romance', 'drama']",monday
"['comedy', 'romance', 'drama']", tuesday
"['mystery', 'comedy']",saturday
"['comedy', 'romance', 'life']",monday
"['comedy', 'romance', 'life']", tuesday
"['business', 'drama', 'medical', 'political']",saturday
"['business', 'drama', 'medical', 'political']", sunday
"['mystery', 'comedy', 'romance', 'supernatural']",saturday
"['mystery', 'comedy', 'romance', 'supernatural']", sunday
"['comedy', 'romance', 'drama', 'family']",wednesday
"['comedy', 'romance', 'drama', 'family']", thursday
"['food', 'business', 'comedy', 'romance']",wednesday
"['food', 'business', 'comedy', 'romance']", thursday
"['thriller', 'mystery', 'psychological', 'drama']",friday
"['thriller', 'mystery', 'psychological', 'drama']", saturday
"['thriller', 'romance', 'crime', 'drama']",monday
"['thriller', 'romance', 'crime', 'drama']", tuesday
"['comedy', 'romance', 'youth', 'fantasy']",monday
"['comedy', 'romance', 'youth', 'fantasy']", tuesday
"['action', 'crime', 'drama']",wednesday
"['thriller', 'mystery', 'romance', 'drama']",wednesday
"['thriller', 'mystery', 'romance', 'drama']", thursday
"['thriller', 'business', 'drama', 'melodrama']",monday
"['thriller', 'business', 'drama', 'melodrama']", tuesday
"['thriller', 'mystery', 'law', 'drama']",friday
"['thriller', 'mystery', 'law', 'drama']", saturday
"['thriller', 'mystery', 'law', 'drama']",friday
