kdrama_name,tags
"['action', 'mystery', 'comedy', 'crime']",South Korea
"['romance', 'life', 'drama', 'medical']",South Korea
"['mystery', 'comedy', 'romance', 'fantasy']",South Korea
"['romance', 'family']",South Korea
"['business', 'comedy', 'crime', 'drama']",South Korea
"['comedy', 'romance']",South Korea
"['thriller', 'psychological', 'drama', 'sci-fi']",South Korea
"['thriller', 'business', 'romance', 'drama']",South Korea
"['romance', 'drama']",South Korea
"['romance', 'life']",South Korea
"['romance', 'life', 'drama', 'melodrama']",South Korea
"['thriller', 'mystery', 'drama', 'melodrama']",South Korea
"['mystery', 'life', 'drama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['historical', 'romance', 'drama', 'political']",South Korea
"['mystery', 'drama']",South Korea
"['thriller', 'mystery']",South Korea
"['action', 'thriller', 'mystery', 'sci-fi']",South Korea
"['action', 'historical', 'romance', 'fantasy']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['comedy', 'romance', 'fantasy', 'melodrama']",South Korea
"['action', 'historical', 'romance', 'melodrama']",South Korea
"['historical', 'political']",South Korea
"['historical', 'romance', 'drama']",South Korea
"['action', 'thriller', 'historical', 'sci-fi']",South Korea
"['action', 'adventure', 'historical', 'political']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['romance', 'drama']",South Korea
"['drama', 'family']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['romance', 'melodrama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['thriller', 'mystery', 'romance', 'supernatural']",South Korea
"['action', 'thriller', 'mystery', 'romance']",South Korea
"['comedy', 'romance', 'melodrama']",South Korea
"['action', 'life', 'drama', 'medical']",South Korea
"['psychological', 'comedy', 'romance']",South Korea
"['comedy', 'romance', 'fantasy']",South Korea
"['action', 'thriller', 'romance', 'crime']",South Korea
"['horror', 'comedy', 'romance', 'supernatural']",South Korea
"['music', 'romance', 'youth', 'drama']",South Korea
"['thriller', 'horror', 'psychological', 'drama']",South Korea
"['mystery', 'horror', 'drama', 'supernatural']",South Korea
"['comedy', 'supernatural', 'sitcom']",South Korea
"['thriller', 'mystery', 'psychological', 'drama']",South Korea
"['comedy', 'romance', 'life', 'fantasy']",South Korea
"['mystery', 'comedy', 'romance', 'life']",South Korea
"['business', 'comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'family']",South Korea
"['romance', 'drama']",South Korea
"['action', 'fantasy', 'supernatural']",South Korea
"['drama', 'family', 'melodrama', 'supernatural']",South Korea
"['romance', 'youth', 'fantasy']",South Korea
"['mystery', 'drama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['thriller', 'mystery', 'drama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['comedy', 'romance', 'drama', 'sitcom']",South Korea
"['comedy', 'romance', 'drama', 'sitcom']",South Korea
"['comedy', 'romance', 'drama', 'sitcom']",South Korea
"['comedy', 'romance', 'sports']",South Korea
"['business', 'comedy', 'romance', 'melodrama']",South Korea
"['mystery', 'comedy', 'melodrama', 'political']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['comedy', 'romance', 'youth', 'melodrama']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['romance', 'drama', 'family', 'melodrama']",South Korea
"['romance', 'drama', 'melodrama']",South Korea
"['comedy', 'romance', 'drama']",South Korea
"['thriller', 'historical', 'mystery', 'horror']",South Korea
"['comedy', 'romance', 'life', 'drama']",South Korea
"['action', 'historical', 'romance', 'drama']",South Korea
"['romance', 'drama']",South Korea
"['romance', 'life', 'drama', 'medical']",South Korea
"['romance', 'drama', 'medical']",South Korea
"['drama', 'sports', 'melodrama']",South Korea
