kdrama_name,actor
"['thriller', 'mystery', 'romance', 'fantasy']", Jeon Yeo Been
"['thriller', 'mystery', 'romance', 'fantasy']", Kang Hoon
"['thriller', 'mystery', 'romance', 'fantasy']", Seo Ye Hwa
"['thriller', 'mystery', 'romance', 'fantasy']", Lee Min Goo
"['thriller', 'mystery', 'romance', 'fantasy']", Jang Hye Jin
"['business', 'comedy', 'romance']",Uhm Jung Hwa
"['business', 'comedy', 'romance']", Park Seo Joon
"['business', 'comedy', 'romance']", Han Jae Suk
"['business', 'comedy', 'romance']", Lee Se Chang
"['business', 'comedy', 'romance']", Ra Mi Ran
"['business', 'comedy', 'romance']", Bang Eun Hee
"['comedy', 'romance', 'life', 'youth']",Shin Ye Eun
"['comedy', 'romance', 'life', 'youth']", Lee Na Eun
"['comedy', 'romance', 'life', 'youth']", Kim Soo Hyun
"['comedy', 'romance', 'life', 'youth']", Kim Dong Hee
"['comedy', 'romance', 'life', 'youth']", Shin Seung Ho
"['comedy', 'romance', 'life', 'youth']", Ryu Eui Hyun
"['comedy', 'romance', 'youth', 'drama']",Lee Na Eun
"['comedy', 'romance', 'youth', 'drama']", Kim Dong Hee
"['comedy', 'romance', 'youth', 'drama']", Choi Bo Min
"['comedy', 'romance', 'youth', 'drama']", Kim Soo Hyun
"['comedy', 'romance', 'youth', 'drama']", Ryu Eui Hyun
"['comedy', 'romance', 'youth', 'drama']", Kang  Min Ah
"['music', 'romance', 'fantasy', 'melodrama']",Lee Sung Kyung
"['music', 'romance', 'fantasy', 'melodrama']", Lee Sang Yoon
"['music', 'romance', 'fantasy', 'melodrama']", Im Se Mi
"['music', 'romance', 'fantasy', 'melodrama']", Han Seung Yeon
"['music', 'romance', 'fantasy', 'melodrama']", Rowoon
"['music', 'romance', 'fantasy', 'melodrama']", Tae In Ho
"['mystery', 'comedy', 'romance', 'fantasy']",Park Bo Young
"['mystery', 'comedy', 'romance', 'fantasy']", Ahn Hyo Seop
"['mystery', 'comedy', 'romance', 'fantasy']", Lee Sung Jae
"['mystery', 'comedy', 'romance', 'fantasy']", Kwon Soo Hyun
"['mystery', 'comedy', 'romance', 'fantasy']", Lee Si Eon
"['mystery', 'comedy', 'romance', 'fantasy']", Han So Hee
"['business', 'comedy', 'romance', 'drama']",Jin Goo
"['business', 'comedy', 'romance', 'drama']", Park Ha Sun
"['business', 'comedy', 'romance', 'drama']", Jo Hyun Jae
"['business', 'comedy', 'romance', 'drama']", Han Chae Young
"['business', 'comedy', 'romance', 'drama']", Lee Jung Gil
"['business', 'comedy', 'romance', 'drama']", Jo A Young
"['thriller', 'mystery', 'drama']",Ji Sung
"['thriller', 'mystery', 'drama']", Seo Ji Hye
"['thriller', 'mystery', 'drama']", Lee Soo Kyung
"['thriller', 'mystery', 'drama']", Heo Sung Tae
"['thriller', 'mystery', 'drama']", Oh Dae Hwan
"['thriller', 'mystery', 'drama']", Lee Kyung Young
"['comedy', 'romance', 'youth']",Ryu Eui Hyun
"['comedy', 'romance', 'youth']", Cho Mi Yeon
"['comedy', 'romance', 'youth']", Jo Yoo Jung
"['comedy', 'romance', 'youth']", Ryeoun
"['comedy', 'romance', 'youth']", Kim Min Ki
"['comedy', 'romance', 'youth']", Kwon Young Eun
['romance'],Cha Hwa Yun
['romance'], Lee Eung Kyung
['romance'], So Yi Hyun
['romance'], Song Yi Woo
['romance'], In Gyo Jin
['romance'], Jung Jae Soon
"['action', 'thriller', 'mystery', 'supernatural']",Kim Dong Jun
"['action', 'thriller', 'mystery', 'supernatural']", Sun Joo Ah
"['action', 'thriller', 'mystery', 'supernatural']", Joo Yeon Woo
"['action', 'thriller', 'mystery', 'supernatural']", Kim Min Seok
"['action', 'thriller', 'mystery', 'supernatural']", Kim Ri Ah
"['action', 'thriller', 'mystery', 'supernatural']", Choi Kyu Hwan
"['mystery', 'law', 'drama', 'fantasy']",Lee Joon Gi
"['mystery', 'law', 'drama', 'fantasy']", Lee Kyung Young
"['mystery', 'law', 'drama', 'fantasy']", Kim Ji Eun
"['mystery', 'law', 'drama', 'fantasy']", Jung Sang Hoon
"['mystery', 'law', 'drama', 'fantasy']", Choi Kwang Il
"['mystery', 'law', 'drama', 'fantasy']", Hong Bi Ra
"['military', 'historical', 'drama', 'political']",Im Hyuk
