kdrama_name,original_networks
"['comedy', 'romance', 'sci-fi', 'fantasy']",KBS
"['mystery', 'drama', 'political']",tvN
"['historical', 'romance', 'fantasy', 'political']",Netflix
"['historical', 'romance', 'fantasy', 'political']", tvN
"['thriller', 'mystery', 'psychological', 'drama']",jTBC
"['comedy', 'romance', 'sci-fi']",tvN
"['action', 'romance', 'drama', 'sports']",SBS
"['law', 'drama', 'political']",KBS
"['comedy', 'romance', 'life', 'drama']",jTBC
"['comedy', 'romance', 'life', 'drama']", Viki
"['romance', 'life', 'youth']",iQiyi
"['romance', 'life', 'youth']", KBS
"['romance', 'life', 'youth']", Viki
"['drama', 'melodrama']",MBC
"['comedy', 'life', 'drama']",tvN
"['thriller', 'mystery', 'crime', 'fantasy']",tvN
"['mystery', 'business', 'law', 'romance']",TV Chosun
"['mystery', 'business', 'law', 'romance']", Viki
"['business', 'comedy', 'romance']",KBS
"['thriller', 'mystery', 'drama']",KBS
"['comedy', 'romance', 'drama', 'melodrama']",Channel A
"['action', 'business', 'comedy', 'romance']",iQiyi
"['action', 'business', 'comedy', 'romance']", SBS
"['action', 'thriller', 'mystery', 'comedy']",iQiyi
"['action', 'thriller', 'mystery', 'comedy']", tvN
"['action', 'mystery', 'crime', 'political']",OCN
"['action', 'thriller', 'psychological', 'crime']",OCN
"['action', 'mystery', 'crime', 'political']",OCN
"['comedy', 'romance', 'drama']",SBS
"['adventure', 'romance', 'drama', 'sports']",MBC
"['action', 'mystery', 'comedy', 'law']",KBS
"['thriller', 'comedy', 'law', 'romance']",MBC
['drama'],MBC
"['historical', 'romance']",SBS
"['romance', 'drama', 'melodrama']",SBS
"['romance', 'drama']",SBS
"['historical', 'romance', 'drama', 'sports']",tvN
"['thriller', 'mystery', 'drama']",Amazon Prime
"['thriller', 'mystery', 'drama']", ENA
"['thriller', 'mystery', 'drama']", TVING
"['comedy', 'romance', 'life', 'melodrama']",jTBC
"['comedy', 'romance', 'life', 'melodrama']", Viki
"['comedy', 'romance', 'drama', 'family']",KBS
"['comedy', 'romance', 'drama']",Naver TV Cast
"['comedy', 'romance', 'drama', 'family']",MBC
"['business', 'comedy', 'romance', 'drama']",jTBC
"['romance', 'life', 'drama']",MBC
"['romance', 'drama']",KBS
"['comedy', 'romance', 'drama']",SBS
"['comedy', 'romance', 'drama', 'melodrama']",KBS
"['thriller', 'mystery', 'life', 'melodrama']",jTBC
"['thriller', 'mystery', 'life', 'melodrama']", Viki
"['comedy', 'romance', 'life', 'drama']",tvN
"['comedy', 'romance', 'life', 'drama']",tvN
"['comedy', 'romance', 'drama']",KBS
"['mystery', 'comedy']",TV Chosun
"['comedy', 'romance', 'life']",Netflix
"['comedy', 'romance', 'life']", tvN
"['business', 'drama', 'medical', 'political']",MBC
"['mystery', 'comedy', 'romance', 'supernatural']",jTBC
"['mystery', 'comedy', 'romance', 'supernatural']", Netflix
"['mystery', 'comedy', 'romance', 'supernatural']", TVING
"['comedy', 'romance', 'drama', 'family']",KBS
"['food', 'business', 'comedy', 'romance']",DramaX
"['food', 'business', 'comedy', 'romance']", MBN
"['food', 'business', 'comedy', 'romance']", Viki
"['thriller', 'mystery', 'psychological', 'drama']",jTBC
"['thriller', 'romance', 'crime', 'drama']",KBS
"['comedy', 'romance', 'youth', 'fantasy']",KBS
"['action', 'crime', 'drama']",Disney
"['action', 'crime', 'drama']", Hulu
"['thriller', 'mystery', 'romance', 'drama']",SBS
"['thriller', 'business', 'drama', 'melodrama']",KBS
"['thriller', 'mystery', 'law', 'drama']",Hulu
"['thriller', 'mystery', 'law', 'drama']", MBC
"['thriller', 'mystery', 'law', 'drama']",Hulu
"['thriller', 'mystery', 'law', 'drama']", MBC
"['comedy', 'romance']",MBC
"['romance', 'sports']",tvN
"['comedy', 'romance', 'drama', 'melodrama']",SBS
"['comedy', 'life', 'drama', 'melodrama']",tvN
"['romance', 'youth', 'fantasy']",Naver TV Cast
"['comedy', 'romance', 'drama']",KBS
"['thriller', 'mystery', 'supernatural']",OCN
"['comedy', 'life', 'drama']",tvN
"['action', 'adventure', 'drama', 'sci-fi']",Netflix
"['romance', 'drama', 'fantasy', 'melodrama']",KBS
"['comedy', 'romance', 'drama', 'supernatural']",KBS
"['comedy', 'romance', 'melodrama']",MBC
"['thriller', 'mystery', 'drama']",OCN
"['thriller', 'mystery', 'drama']", tvN
"['action', 'romance', 'medical', 'supernatural']",KBS
"['historical', 'romance', 'drama', 'political']",jTBC
"['action', 'thriller', 'crime', 'drama']",Netflix
"['historical', 'drama', 'political']",KBS
"['military', 'romance', 'drama']",jTBC
"['romance', 'drama', 'family']",MBC
"['law', 'romance', 'drama', 'melodrama']",MBC
"['thriller', 'romance', 'drama', 'fantasy']",Naver TV Cast
"['thriller', 'romance', 'drama', 'fantasy']", Viki
"['action', 'romance']",KBS
"['comedy', 'romance', 'life', 'melodrama']",ENA
"['comedy', 'romance', 'life', 'melodrama']", TVING
"['mystery', 'romance', 'fantasy', 'melodrama']",KBS
"['historical', 'romance', 'life', 'drama']",MBN
"['historical', 'romance', 'life', 'drama']", Viki
"['comedy', 'romance', 'youth', 'drama']",KBS
"['romance', 'drama', 'medical']",KBS
"['mystery', 'comedy']",KBS
"['drama', 'family']",SBS
"['drama', 'family']",SBS
"['comedy', 'romance', 'melodrama']",MBC
"['comedy', 'romance', 'drama', 'fantasy']",KBS
"['action', 'historical', 'romance', 'political']",KBS
"['mystery', 'comedy', 'romance', 'supernatural']",TV Chosun
"['romance', 'drama', 'family']",SBS
"['comedy', 'romance', 'family', 'melodrama']",KBS
"['comedy', 'romance', 'family', 'melodrama']",KBS
"['horror', 'comedy', 'romance', 'supernatural']",tvN
"['comedy', 'romance', 'drama']",tvN
"['business', 'romance', 'drama', 'melodrama']",SBS
"['thriller', 'mystery', 'drama', 'fantasy']",Netflix
"['thriller', 'mystery', 'drama', 'fantasy']", tvN
"['comedy', 'romance', 'drama']",Netflix
"['comedy', 'romance', 'drama']", SBS
"['music', 'drama']",NA
"['romance', 'drama', 'melodrama']",Disney
"['romance', 'drama', 'melodrama']", Hulu
"['romance', 'drama', 'family']",jTBC
"['romance', 'life', 'drama']",jTBC
"['comedy', 'law', 'romance', 'life']",MBC
"['romance', 'drama', 'family']",jTBC
"['historical', 'comedy', 'romance', 'drama']",KBS
"['thriller', 'mystery', 'comedy', 'romance']",tvN
"['thriller', 'mystery', 'drama']",Netflix
"['thriller', 'mystery', 'comedy', 'romance']",KBS
"['mystery', 'comedy', 'romance', 'youth']",SBS
"['mystery', 'comedy', 'romance', 'youth']",SBS
['drama'],KBS
"['psychological', 'romance', 'life', 'drama']",tvN
"['comedy', 'romance', 'drama', 'melodrama']",SBS
"['mystery', 'romance', 'drama', 'melodrama']",SBS
"['mystery', 'drama', 'supernatural']",OCN
"['comedy', 'romance', 'supernatural', 'political']",tvN
"['thriller', 'mystery', 'comedy', 'fantasy']",Netflix
"['law', 'drama', 'political']",jTBC
"['law', 'drama', 'political']", Netflix
"['thriller', 'mystery', 'supernatural']",OCN
"['thriller', 'mystery', 'psychological', 'drama']",MBC
"['comedy', 'romance', 'life']",MBC
"['thriller', 'mystery']",OCN
"['thriller', 'mystery', 'comedy', 'melodrama']",MBC
"['business', 'comedy', 'romance', 'drama']",Naver TV Cast
"['romance', 'life', 'medical', 'melodrama']",jTBC
"['romance', 'life', 'medical', 'melodrama']", Netflix
"['romance', 'melodrama']",NA
"['romance', 'family', 'melodrama']",MBC
"['comedy', 'romance', 'drama']",tvN
"['comedy', 'romance', 'drama']",tvN
"['thriller', 'mystery', 'sci-fi']",tvN
"['romance', 'life', 'youth', 'drama']",Daum Kakao TV
"['romance', 'life', 'youth', 'drama']", Netflix
"['action', 'thriller', 'crime']",SBS
"['mystery', 'law', 'drama', 'melodrama']",MBC Dramanet
"['thriller', 'mystery', 'law', 'youth']",OCN
"['business', 'comedy', 'romance', 'drama']",jTBC
"['comedy', 'crime', 'drama']",jTBC
"['comedy', 'romance', 'fantasy']",Naver TV Cast
"['food', 'comedy', 'romance', 'drama']",MBC
"['comedy', 'romance', 'fantasy']",Channel A
"['comedy', 'romance', 'fantasy']", Viki
"['mystery', 'romance', 'drama', 'supernatural']",LINE TV
"['mystery', 'romance', 'drama', 'supernatural']", Viki
"['mystery', 'romance', 'drama', 'supernatural']", ViuTV
"['thriller', 'horror', 'supernatural']",OCN
"['thriller', 'mystery', 'romance', 'melodrama']",MBC
"['comedy', 'romance', 'drama', 'supernatural']",SBS
"['thriller', 'mystery', 'law', 'drama']",tvN
"['mystery', 'youth']",OBS
"['historical', 'drama']",KBS
"['food', 'comedy', 'romance']",tvN
"['comedy', 'romance']",MBC
"['thriller', 'mystery', 'comedy', 'romance']",Netflix
"['thriller', 'mystery', 'comedy', 'romance']", tvN
"['military', 'comedy', 'romance', 'political']",Netflix
"['military', 'comedy', 'romance', 'political']", tvN
"['romance', 'drama', 'family', 'melodrama']",tvN
"['drama', 'medical']",MBC
"['action', 'mystery', 'drama']",tvN
"['thriller', 'mystery', 'medical']",tvN
"['historical', 'romance', 'melodrama', 'political']",tvN
"['business', 'comedy', 'romance']",MBC
"['romance', 'life', 'drama', 'family']",KBS
"['romance', 'life', 'drama', 'family']", Viki
"['romance', 'drama', 'medical']",jTBC
"['action', 'military', 'drama']",Netflix
"['food', 'comedy', 'romance', 'supernatural']",MBC
"['historical', 'war']",KBS
"['historical', 'drama']",KBS
"['drama', 'medical']",Netflix
"['business', 'comedy', 'romance', 'drama']",KBS
"['comedy', 'romance', 'drama']",KBS
"['historical', 'mystery', 'romance', 'martial arts']",MBC
"['business', 'romance', 'drama', 'melodrama']",MBC
['romance'],MBC
"['action', 'thriller', 'horror', 'sci-fi']",OCN
"['action', 'thriller', 'horror', 'sci-fi']", tvN
"['comedy', 'romance', 'drama']",tvN
"['life', 'drama', 'melodrama']",tvN
"['romance', 'drama', 'melodrama']",SBS
"['life', 'drama', 'melodrama']",tvN
"['romance', 'drama']",TVING
"['romance', 'drama']",TVING
"['historical', 'mystery', 'political']",SBS
['romance'],SBS
"['mystery', 'comedy', 'law', 'melodrama']",SBS
"['food', 'comedy', 'romance']",MBC
"['comedy', 'crime', 'drama']",tvN
"['action', 'comedy', 'martial arts', 'sci-fi']",NA
"['mystery', 'comedy', 'romance', 'supernatural']",ENA
"['mystery', 'comedy', 'romance', 'supernatural']", Genie TV
"['mystery', 'comedy', 'romance', 'supernatural']", ViuTV
"['action', 'comedy', 'romance', 'melodrama']",KBS
"['thriller', 'mystery', 'drama', 'political']",Netflix
"['thriller', 'mystery', 'drama', 'political']", tvN
"['comedy', 'romance', 'drama', 'fantasy']",jTBC
"['comedy', 'romance', 'drama', 'fantasy']", Netflix
"['action', 'thriller', 'mystery', 'drama']",ENA
"['action', 'thriller', 'mystery', 'drama']", jTBC
"['comedy', 'romance', 'drama']",DramaX
"['comedy', 'romance', 'drama']", MBN
"['comedy', 'romance', 'drama']", Viki
"['action', 'historical', 'romance', 'supernatural']",MBC
"['mystery', 'law', 'life', 'drama']",jTBC
"['romance', 'life', 'drama']",MBC
"['action', 'historical', 'romance', 'medical']",MBC
"['comedy', 'romance', 'life', 'drama']",iQiyi
"['comedy', 'romance', 'life', 'drama']", MBC
"['comedy', 'romance', 'drama']",KBS
"['thriller', 'mystery', 'law']",SBS
"['music', 'comedy', 'romance', 'life']",Netflix
"['music', 'comedy', 'romance', 'life']", TVING
"['music', 'comedy', 'romance', 'life']", tvN
"['law', 'drama']",jTBC
"['law', 'drama']", Netflix
"['law', 'drama']", TVING
"['comedy', 'law', 'romance']",SBS
"['music', 'comedy', 'romance', 'melodrama']",KBS
"['music', 'comedy', 'romance', 'melodrama']", Netflix
"['music', 'romance', 'drama', 'melodrama']",SBS
"['thriller', 'mystery', 'drama', 'medical']",SBS
"['mystery', 'romance', 'life', 'medical']",SBS
"['mystery', 'romance', 'life', 'medical']",SBS
"['thriller', 'law', 'drama', 'medical']",MBC
"['thriller', 'law', 'crime', 'medical']",KBS
"['comedy', 'romance', 'drama', 'medical']",jTBC
"['comedy', 'romance', 'drama', 'medical']", Netflix
"['thriller', 'romance', 'drama', 'medical']",SBS
"['action', 'crime', 'youth']",Oksusu
"['action', 'crime', 'youth']", Viki
"['romance', 'family']",MBC
"['comedy', 'romance']",SBS
"['romance', 'drama']",SBS
"['thriller', 'romance', 'drama', 'melodrama']",KBS
"['comedy', 'romance', 'drama', 'fantasy']",tvN
"['comedy', 'romance', 'drama', 'fantasy']", ViuTV
"['comedy', 'romance', 'youth', 'drama']",Netflix
['drama'],CGV
['youth'],MBC
"['action', 'drama']",NA
['drama'],SBS
"['romance', 'drama', 'family', 'melodrama']",KBS
"['romance', 'sports', 'melodrama']",SBS
"['music', 'comedy', 'romance', 'youth']",KBS
"['music', 'comedy', 'romance', 'youth']",KBS
"['historical', 'drama']",KBS
"['food', 'comedy', 'romance']",tvN
"['thriller', 'mystery', 'sci-fi', 'medical']",NA
"['mystery', 'psychological', 'drama', 'medical']",OCN
['romance'],Naver TV Cast
"['historical', 'romance', 'medical', 'fantasy']",MBC
"['action', 'thriller', 'romance', 'medical']",MBC
"['comedy', 'medical']",TVING
"['romance', 'drama', 'medical']",SBS
"['thriller', 'mystery', 'sci-fi']",OCN
"['comedy', 'drama', 'family', 'melodrama']",SBS
"['action', 'thriller', 'drama', 'sci-fi']",TVING
"['food', 'comedy', 'romance', 'melodrama']",Channel A
"['historical', 'mystery', 'drama']",CGV
"['comedy', 'romance', 'life', 'drama']",jTBC
"['comedy', 'romance', 'life', 'drama']", Viki
"['comedy', 'romance', 'drama', 'medical']",tvN
"['action', 'historical', 'drama', 'war']",KBS
"['business', 'drama']",SBS
"['historical', 'romance', 'melodrama', 'political']",MBC
"['historical', 'romance', 'melodrama', 'political']",MBC
"['historical', 'drama']",KBS
"['romance', 'family', 'melodrama']",SBS
['drama'],MBC
"['action', 'romance', 'drama', 'melodrama']",SBS
"['action', 'romance', 'drama', 'melodrama']",SBS
"['romance', 'melodrama']",MBC
"['romance', 'melodrama']",KBS
"['romance', 'family', 'melodrama']",MBC
"['music', 'business', 'comedy', 'drama']",SBS
"['business', 'comedy', 'drama']",tvN
"['action', 'tokusatsu', 'sci-fi', 'fantasy']",KBS
"['romance', 'drama', 'melodrama']",tvN
"['comedy', 'romance', 'fantasy']",OCN
['drama'],MBC
"['music', 'comedy', 'romance']",Naver TV Cast
"['psychological', 'crime', 'youth', 'drama']",Netflix
"['law', 'romance', 'life', 'drama']",ENA
"['law', 'romance', 'life', 'drama']", Netflix
"['comedy', 'romance', 'youth', 'fantasy']",MBC
"['comedy', 'romance', 'drama']",tvN
"['action', 'historical', 'romance', 'drama']",MBC
"['historical', 'romance', 'medical', 'supernatural']",SBS
"['comedy', 'romance', 'drama']",Naver TV Cast
"['comedy', 'romance', 'drama', 'fantasy']",tvN
"['drama', 'family']",KBS
"['drama', 'family', 'melodrama']",tvN
"['comedy', 'romance', 'drama']",SBS
"['action', 'thriller', 'comedy', 'drama']",TVING
"['action', 'thriller', 'comedy', 'drama']", tvN
"['comedy', 'romance']",MBC
"['comedy', 'romance', 'drama', 'medical']",jTBC
"['romance', 'drama', 'family', 'melodrama']",SBS
"['romance', 'drama', 'melodrama']",SBS
"['romance', 'drama', 'family', 'melodrama']",KBS
"['romance', 'drama', 'melodrama']",SBS
"['romance', 'drama', 'melodrama']", Viki
"['romance', 'drama', 'melodrama']",MBC
"['drama', 'family']",SBS
"['comedy', 'romance', 'drama', 'melodrama']",MBC
"['comedy', 'romance', 'drama', 'fantasy']",KBS
"['business', 'comedy', 'romance', 'sports']",KBS
"['romance', 'drama', 'melodrama']",MBC
['romance'],MBC
"['comedy', 'romance', 'fantasy']",LINE TV
"['comedy', 'romance', 'fantasy']", Naver TV Cast
"['comedy', 'romance', 'fantasy']", Viki
"['historical', 'romance', 'drama']",TVING
"['romance', 'family']",SBS
"['comedy', 'romance', 'drama', 'melodrama']",KBS
"['music', 'romance', 'melodrama']",SBS
['drama'],SBS
"['music', 'romance', 'youth']",tvN
"['historical', 'comedy', 'romance', 'drama']",jTBC
"['historical', 'comedy', 'romance', 'drama']", Viki
"['mystery', 'comedy']",tvN
"['thriller', 'romance', 'crime', 'melodrama']",tvN
"['comedy', 'romance', 'drama']",MBC
['melodrama'],jTBC
"['historical', 'mystery', 'comedy', 'drama']",MBC
"['historical', 'law', 'drama', 'melodrama']",MBC
"['life', 'drama']",Amazon Prime
"['life', 'drama']", jTBC
"['romance', 'drama', 'melodrama']",jTBC
"['romance', 'drama', 'melodrama']", Netflix
"['business', 'psychological', 'romance', 'medical']",KBS
"['comedy', 'romance', 'life', 'drama']",NA
['historical'],KBS
"['romance', 'drama']",MBC
"['action', 'historical']",KBS
"['comedy', 'romance']",ENA
"['comedy', 'romance']", Viki
"['mystery', 'comedy', 'romance', 'fantasy']",MBC
"['mystery', 'comedy', 'romance', 'fantasy']", ViuTV
"['comedy', 'romance', 'drama', 'martial arts']",SBS Plus
"['comedy', 'romance', 'drama', 'martial arts']",SBS Plus
"['psychological', 'romance', 'youth', 'drama']",jTBC
"['business', 'comedy', 'romance', 'melodrama']",SBS
"['thriller', 'mystery', 'drama']",tvN
"['business', 'comedy', 'romance', 'life']",ENA
"['business', 'comedy', 'romance', 'life']", Genie TV
"['mystery', 'drama']",TV Chosun
"['life', 'youth']",MBC
"['comedy', 'medical', 'fantasy', 'supernatural']",tvN
"['mystery', 'romance', 'youth', 'drama']",KBS
"['romance', 'drama', 'melodrama', 'political']",MBC
"['romance', 'drama']",SBS
"['psychological', 'drama', 'melodrama']",tvN
"['romance', 'melodrama']",SBS
"['thriller', 'mystery', 'comedy', 'sci-fi']",Netflix
"['thriller', 'drama', 'melodrama']",Netflix
"['comedy', 'romance', 'drama']",SBS
"['romance', 'drama']",KBS
"['comedy', 'romance', 'life', 'fantasy']",KBS
"['military', 'adventure', 'historical', 'drama']",MBC
"['historical', 'romance', 'drama']",MBC
"['comedy', 'romance', 'drama']",SBS
"['thriller', 'mystery', 'drama', 'supernatural']",SBS
"['business', 'comedy', 'romance', 'drama']",SBS
"['business', 'comedy', 'romance', 'drama']", Sohu TV
"['drama', 'melodrama']",KBS
"['romance', 'drama']",KBS
"['comedy', 'romance', 'drama', 'melodrama']",SBS
"['thriller', 'romance', 'drama', 'melodrama']",KBS
"['romance', 'drama', 'melodrama']",MBC
"['food', 'romance', 'drama', 'melodrama']",MBC
"['romance', 'drama', 'melodrama']",MBC
"['comedy', 'romance', 'medical']",MBC
"['action', 'mystery', 'comedy', 'crime']",SBS
"['romance', 'life', 'drama', 'medical']",KBS
"['mystery', 'comedy', 'romance', 'fantasy']",ENA
"['mystery', 'comedy', 'romance', 'fantasy']", Viki
"['romance', 'family']",MBC
"['business', 'comedy', 'crime', 'drama']",KBS
"['comedy', 'romance']",Channel A
"['thriller', 'psychological', 'drama', 'sci-fi']",Netflix
"['thriller', 'business', 'romance', 'drama']",MBC
"['romance', 'drama']",MBC
"['romance', 'life']",KBS
"['romance', 'life', 'drama', 'melodrama']",MBC
"['thriller', 'mystery', 'drama', 'melodrama']",MBN
"['mystery', 'life', 'drama']",jTBC
"['romance', 'drama', 'melodrama']",KBS
"['historical', 'romance', 'drama', 'political']",TV Chosun
"['historical', 'romance', 'drama', 'political']", Viki
"['mystery', 'drama']",jTBC
"['mystery', 'drama']", Netflix
"['thriller', 'mystery']",TVING
"['action', 'thriller', 'mystery', 'sci-fi']",Disney
"['action', 'thriller', 'mystery', 'sci-fi']", Hulu
"['action', 'historical', 'romance', 'fantasy']",MBC
"['comedy', 'romance', 'life', 'drama']",SBS
"['comedy', 'romance', 'fantasy', 'melodrama']",tvN
"['action', 'historical', 'romance', 'melodrama']",KBS
"['historical', 'political']",KBS
"['historical', 'romance', 'drama']",MBC
"['action', 'thriller', 'historical', 'sci-fi']",Netflix
"['action', 'adventure', 'historical', 'political']",SBS
"['business', 'comedy', 'romance', 'drama']",SBS
"['romance', 'drama']",KBS
"['drama', 'family']",jTBC
"['romance', 'drama', 'melodrama']",MBC
"['romance', 'melodrama']",SBS
"['romance', 'drama', 'melodrama']",SBS
"['thriller', 'mystery', 'romance', 'supernatural']",tvN
"['action', 'thriller', 'mystery', 'romance']",KBS
"['comedy', 'romance', 'melodrama']",SBS
"['action', 'life', 'drama', 'medical']",SBS
"['psychological', 'comedy', 'romance']",tvN
"['comedy', 'romance', 'fantasy']",KBS
"['action', 'thriller', 'romance', 'crime']",jTBC
"['horror', 'comedy', 'romance', 'supernatural']",Tooniverse
"['music', 'romance', 'youth', 'drama']",MBC
"['thriller', 'horror', 'psychological', 'drama']",OCN
"['mystery', 'horror', 'drama', 'supernatural']",Netflix
"['comedy', 'supernatural', 'sitcom']",MBC
"['thriller', 'mystery', 'psychological', 'drama']",KBS
"['comedy', 'romance', 'life', 'fantasy']",KBS
"['comedy', 'romance', 'life', 'fantasy']", Netflix
"['mystery', 'comedy', 'romance', 'life']",jTBC
"['business', 'comedy', 'romance', 'drama']",tvN
"['comedy', 'romance', 'drama', 'family']",MBC
"['romance', 'drama']",MBC
"['action', 'fantasy', 'supernatural']",OCN
"['drama', 'family', 'melodrama', 'supernatural']",Netflix
"['drama', 'family', 'melodrama', 'supernatural']", tvN
"['romance', 'youth', 'fantasy']",KBS
"['mystery', 'drama']",tvN
"['romance', 'drama', 'melodrama']",MBC
"['thriller', 'mystery', 'drama']",tvN
"['comedy', 'romance', 'drama']",MBN
"['comedy', 'romance', 'drama']", Naver TV Cast
"['comedy', 'romance', 'drama']", Sohu TV
"['comedy', 'romance', 'drama', 'sitcom']",MBC
"['comedy', 'romance', 'drama', 'sitcom']",MBC
"['comedy', 'romance', 'drama', 'sitcom']",MBC
"['comedy', 'romance', 'sports']",tvN
"['business', 'comedy', 'romance', 'melodrama']",SBS
"['mystery', 'comedy', 'melodrama', 'political']",SBS
"['comedy', 'romance', 'life', 'drama']",KBS
"['comedy', 'romance', 'youth', 'melodrama']",tvN
"['romance', 'drama', 'family', 'melodrama']",MBC
"['romance', 'drama', 'family', 'melodrama']",MBC
"['romance', 'drama', 'melodrama']",KBS
"['comedy', 'romance', 'drama']",KBS
"['thriller', 'historical', 'mystery', 'horror']",tvN
"['comedy', 'romance', 'life', 'drama']",Netflix
"['comedy', 'romance', 'life', 'drama']", tvN
"['action', 'historical', 'romance', 'drama']",SBS
"['romance', 'drama']",SBS
"['romance', 'life', 'drama', 'medical']",Netflix
"['romance', 'life', 'drama', 'medical']", tvN
"['romance', 'drama', 'medical']",MBC
"['drama', 'sports', 'melodrama']",SBS
"['horror', 'comedy', 'romance', 'fantasy']",tvN
"['business', 'romance', 'drama', 'melodrama']",MBC
"['business', 'romance', 'drama']",MBC
"['comedy', 'romance', 'drama']",KBS
"['food', 'romance', 'drama', 'fantasy']",Naver TV Cast
"['food', 'romance', 'drama', 'fantasy']", Viki
"['romance', 'drama', 'family', 'melodrama']",jTBC
"['comedy', 'romance', 'drama']",Daum Kakao TV
"['comedy', 'romance', 'drama']", Viki
"['mystery', 'comedy', 'romance', 'drama']",KBS
"['mystery', 'comedy', 'romance']",SBS
['drama'],MBC
"['historical', 'medical']",MBC
"['historical', 'drama', 'medical']",MBC
"['mystery', 'business', 'comedy', 'life']",iQiyi
"['mystery', 'business', 'comedy', 'life']", jTBC
['historical'],MBC
"['action', 'historical', 'comedy', 'romance']",KBS
"['psychological', 'comedy', 'romance', 'drama']",SBS
"['comedy', 'romance', 'mature']",tvN
"['comedy', 'romance', 'youth', 'sci-fi']",Naver TV Cast
"['mystery', 'law', 'romance', 'supernatural']",SBS
"['comedy', 'romance']",MBC
"['romance', 'drama', 'melodrama']",SBS
"['comedy', 'romance', 'fantasy', 'supernatural']",tvN
"['comedy', 'romance']",tvN
"['comedy', 'romance']",tvN
"['comedy', 'romance', 'drama']",tvN
"['food', 'comedy', 'romance', 'melodrama']",SBS Plus
"['comedy', 'romance']",Oksusu
"['comedy', 'romance']", Viki
