kdrama_name,tags
Doom at Your Service, first love
Doom at Your Service, eccentric male lead
Doom at Your Service, brothersister relationship
Doom at Your Service, fate 
Hotel Del Luna,bossemployee relationship
Hotel Del Luna, ghostseeing male lead
Hotel Del Luna, strong female lead
Hotel Del Luna, ghost
Hotel Del Luna, smart female lead
Hotel Del Luna, supernatural
Hotel Del Luna, death
Hotel Del Luna, nice male lead
Hotel Del Luna, flashback to past
Hotel Del Luna, hardworking male lead 
Strong Girl Bong-soon,strong female lead
Strong Girl Bong-soon, female lead action scenes
Strong Girl Bong-soon, superhuman strength
Strong Girl Bong-soon, love triangle
Strong Girl Bong-soon, nice male lead
Strong Girl Bong-soon, rich manpoor woman
Strong Girl Bong-soon, fatherdaughter relationship
Strong Girl Bong-soon, gang
Strong Girl Bong-soon, bossemployee relationship
Strong Girl Bong-soon, rich male lead 
Happiness,disease
Happiness, slow burn romance
Happiness, strong female lead
Happiness, virus
Happiness, survival
Happiness, smart male lead
Happiness, fake marriage
Happiness, discrimination
Happiness, infectious disease
Happiness, illness 
The Uncanny Counter,special power
The Uncanny Counter, righteous male lead
The Uncanny Counter, evil spirit
The Uncanny Counter, strong female lead
The Uncanny Counter, multiple mains
The Uncanny Counter, orphan male lead
The Uncanny Counter, spirit
The Uncanny Counter, school bullying
The Uncanny Counter, childhood trauma
The Uncanny Counter, nice male lead 
W,parallel dimension
W, gun violence
W, crossworlds traveler
W, steamy kiss
W, rich male lead
W, lovers separated
W, attempted murder
W, murder
W, fight
W, revenge 
Vagabond,corruption
Vagabond, plane crash
Vagabond, death
Vagabond, revenge
Vagabond, national intelligence service
Vagabond, strong male lead
Vagabond, terrorist
Vagabond, street fight
Vagabond, deception
Vagabond, blackmail 
The K2,badass male lead
The K2, power struggle
The K2, political
The K2, trauma
The K2, evil stepmother
The K2, aggressive male lead
The K2, tragic past
The K2, naive female lead
The K2, revenge
The K2, forgiveness 
Eve,scheme
Eve, rich female lead
Eve, orphan male lead
Eve, death
Eve, strong female lead
Eve, revenge
Eve, twin flames
Eve, politician male lead
Eve, company president ceo male lead
Eve, married life 
She Would Never Know,male chases female first
She Would Never Know, cosmetics company
She Would Never Know, nice male lead
She Would Never Know, motherdaughter relationship
She Would Never Know, secret relationship
She Would Never Know, older womanyounger man
She Would Never Know, brothersister relationship
She Would Never Know, time skip
She Would Never Know, family relationship
She Would Never Know, beauty and makeup 
Tell Me Your Wish,hospice care
Tell Me Your Wish, healing
Tell Me Your Wish, terminal illness
Tell Me Your Wish, orphan male lead
Tell Me Your Wish, volunteer male lead
Tell Me Your Wish, delinquent male lead
Tell Me Your Wish, hardship
Tell Me Your Wish, age gap drama life
Tell Me Your Wish, age gap real life
Tell Me Your Wish, nurse female lead 
Tell Me Your Wish,birth secret 
Why Her,older womanyounger man
Why Her, studentteacher relationship
Why Her, badass female lead
Why Her, tragic past
Why Her, age gap drama life
Why Her, strong female lead
