kdrama_name,actor
My Roommate Is a Gumiho, Kim Do Wan
My Roommate Is a Gumiho, Bae In Hyuk
My Roommate Is a Gumiho, Park Kyung Hye
My Love from Another Star,Kim Soo Hyun
My Love from Another Star, Jun Ji Hyun
My Love from Another Star, Park Hae Jin
My Love from Another Star, Yoo In Na
My Love from Another Star, Shin Sung Rok
My Love from Another Star, Kim Chang Wan
Star's Lover,Kim Soo Hyun
Star's Lover, Jun Ji Hyun
Star's Lover, Park Hae Jin
Star's Lover, Yoo In Na
Star's Lover, Shin Sung Rok
Star's Lover, Kim Chang Wan
Healer,Ji Chang Wook
Healer, Park Min Young
Healer, Yoo Ji Tae
Healer, Kim  Mi Kyung
Healer, Park Sang Won
Healer, Do Ji Won
Shooting Stars,Lee Sung Kyung
Shooting Stars, Kim Young Dae
Shooting Stars, Yoon Jong Hoon
Shooting Stars, Kim Yoon Hye
Shooting Stars, Park So Jin
Shooting Stars, Lee Jung Shin
Juvenile Justice,Kim Hye Soo
Juvenile Justice, Kim Mu Yeol
Juvenile Justice, Lee Sung Min
Juvenile Justice, Lee Jung Eun
Juvenile Justice, Lee Sang Hee
Juvenile Justice, Park Ji Yun
Extracurricular,Kim Dong Hee
Extracurricular, Park Ju Hyun
Extracurricular, Jung Da Bin
Extracurricular, Nam Yoon Su
Extracurricular, Choi Min Soo
Extracurricular, Park Hyuk Kwon
D.P.,Jung Hae In
D.P., Koo Kyo Hwan
D.P., Kim Sung Kyun
D.P., Son Seok Koo
D.P., Hong Kyung
D.P., Jo Hyun Chul
Dr. Romantic,Han Seok Kyu
Dr. Romantic, Yoo Yeon Seok
Dr. Romantic, Seo Hyun Jin
Dr. Romantic, Choi Jin Ho
Dr. Romantic, Yang Se Jong
Dr. Romantic, Jang Hyuk Jin
Weightlifting Fairy Kim Bok-Joo,Lee Sung Kyung
Weightlifting Fairy Kim Bok-Joo, Nam Joo Hyuk
Weightlifting Fairy Kim Bok-Joo, Lee Jae Yoon
Weightlifting Fairy Kim Bok-Joo, Kyung Soo Jin
Weightlifting Fairy Kim Bok-Joo, Cho Hye Jung
Weightlifting Fairy Kim Bok-Joo, Lee Joo Young
Heirs,Lee Min Ho
Heirs, Park Shin Hye
Heirs, Kim Woo Bin
Heirs, Kim Ji Won
Heirs, Kang Min Hyuk
Heirs, Choi Jin Hyuk
Anna,Bae Suzy
Anna, Jung Eun Chae
Anna, Kim Joon Han
Anna, Park Ye Young
Anna, Heo Hyung Kyu
Anna, Kang Shin Chul
The Tale of Nokdu,Jang Dong Yoon
The Tale of Nokdu, Kim So Hyun
The Tale of Nokdu, Kang Tae Oh
The Tale of Nokdu, Jung Joon Ho
The Tale of Nokdu, Kim Tae Woo
The Tale of Nokdu, Yoon Yoo Sun
Romance Is a Bonus Book,Lee Na Young
Romance Is a Bonus Book, Lee Jong Suk
Romance Is a Bonus Book, Jung Eugene
Romance Is a Bonus Book, Wi Ha Joon
Romance Is a Bonus Book, Kim Tae Woo
Romance Is a Bonus Book, Kim Yoo Mi
Signal,Lee Je Hoon
Signal, Kim Hye Soo
Signal, Jo Jin Woong
Signal, Kim Won Hae
Signal, Lee Yoo Joon
Signal, Jang Hyun Sung
Prison Playbook,Park Hae Soo
Prison Playbook, Jung Kyung Ho
Prison Playbook, Krystal Jung
Prison Playbook, Im Hwa Young
Prison Playbook, Ye Soo Jung
Prison Playbook, Kim Kyung Nam
Yumi's Cells,Kim Go Eun
Yumi's Cells, Ahn Bo Hyun
Yumi's Cells, Park Ji Hyun
Yumi's Cells, Joo Jong Hyuk
Yumi's Cells, Lee Yoo Bi
Yumi's Cells, Park Jin Young
Ghost Doctor,Rain
