Kdrama_name,Episodes,start airing,end airing,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers
Oh My Venus,16,16-Nov-15,5-Jan-16,KBS2,60,8.3,42490,722,41,13+ - Teens 13 or older,"78,639"
Fight for My Way,16,22-May-17,11-Jul-17,KBS2,60,8.5,51253,326,19,15+ - Teens 15 or older,"99,939"
Love in the Moonlight,18,22-Aug-16,18-Oct-16,KBS2,59,8.2,29757,824,68,15+ - Teens 15 or older,"65,161"
Her Private Life,16,10-Apr-19,30-May-19,tvN,75,8.4,44900,470,25,15+ - Teens 15 or older,"88,498"
SKY Castle,20,23-Nov-18,1-Feb-19,jTBC,75,8.9,23239,47,95,15+ - Teens 15 or older,"55,126"
Do You Like Brahms?,16,31-Aug-20,20-Oct-20,SBS,65,8.1,9848,1221,407,15+ - Teens 15 or older,"22,038"
Suspicious Partner,40,10-May-17,13-Jul-17,SBS,30,8.3,46017,670,23,15+ - Teens 15 or older,"93,220"
The World of the Married,16,27-Mar-20,16-May-20,jTBC,80,8.5,13650,364,213,18+ Restricted (violence & profanity),"34,993"
Pinocchio,20,12-Nov-14,15-Jan-15,SBS,58,8.4,56373,463,14,15+ - Teens 15 or older,"115,082"
The Devil Judge,16,3-Jul-21,22-Aug-21,tvN,75,8.8,14457,76,179,15+ - Teens 15 or older,"38,079"
A Korean Odyssey,20,23-Dec-17,4-Mar-18,Netflix tvN,80,8.3,34146,779,55,15+ - Teens 15 or older,"71,304"
Bulgasal,16,18-Dec-21,6-Feb-22,Netflix tvN,75,8.3,7210,677,564,15+ - Teens 15 or older,"17,482"
Record of Youth,16,7-Sep-20,27-Oct-20,Netflix tvN,75,7.5,19022,3871,154,15+ - Teens 15 or older,"42,213"
The Iron Empress,20,12-Dec-20,14-Feb-21,tvN,80,9,28256,23,92,15+ - Teens 15 or older,"55,617"
Black,18,14-Oct-17,10-Dec-17,OCN,80,8.1,19052,1208,142,15+ - Teens 15 or older,"45,067"
Love Alarm,8," Aug 22, 2019",N/A,Netflix,50,7.4,42637,4311,42,13+ - Teens 13 or older,"78,616"
My Country: The New Age,16,4-Oct-19,23-Nov-19,jTBC Netflix,80,8.4,6865,501,506,15+ - Teens 15 or older,"18,866"
I'm Not a Robot,32,6-Dec-17,25-Jan-18,MBC,35,8.4,50968,407,18,15+ - Teens 15 or older,"100,598"
Hell Is Other People,10,31-Aug-19,6-Oct-19,OCN,60,8.7,20202,166,132,15+ - Teens 15 or older,"46,145"
Youth of May,12,3-May-21,8-Jun-21,KBS2,70,8.8,12543,81,211,15+ - Teens 15 or older,"35,100"
One Ordinary Day,8,27-Nov-21,19-Dec-21,ViuTV,70,8.5,5147,319,588,18+ Restricted (violence & profanity),"17,001"
Bad and Crazy,12,17-Dec-21,28-Jan-22,iQiyi tvN,70,8.6,11281,255,235,15+ - Teens 15 or older,"32,287"
The Good Detective,16,6-Jul-20,25-Aug-20,jTBC,70,8.3,4634,554,884,15+ - Teens 15 or older,"11,730"
The Fiery Priest,40,15-Feb-19,20-Apr-19,SBS,35,8.7,8601,139,415,15+ - Teens 15 or older,"21,818"
Clean with Passion for Now,16,26-Nov-18,4-Feb-19,jTBC,70,7.7,19991,2713,152,15+ - Teens 15 or older,"42,684"
Dr. Brain,6,3-Nov-21,10-Dec-21,N/A,60,7.9,1528,1711,1965,15+ - Teens 15 or older,"4,891"
Voice,16,14-Jan-17,12-Mar-17,OCN,60,8.5,14483,322,241,15+ - Teens 15 or older,"32,002"
Alhambeura Goongjeonui Chooeok,16,1-Dec-18,20-Jan-19,Netflix tvN,70,8.1,26540,1293,83,15+ - Teens 15 or older,"58,816"
"Poong, the Joseon Psychiatrist",12,1-Aug-22,6-Sep-22,tvN,75,8.1,344,36238,2232,15+ - Teens 15 or older,"4,233"
Stove League,16,13-Dec-19,14-Feb-20,SBS,62,8.7,7892,146,541,15+ - Teens 15 or older,"18,035"
Rookie Historian Goo Hae-Ryung,40,17-Jul-19,26-Sep-19,MBC Netflix,35,8.3,15958,745,191,15+ - Teens 15 or older,"36,785"
My Secret Romance,13,17-Apr-17,30-May-17,OCN,60,7.6,37596,3251,61,15+ - Teens 15 or older,"69,212"
Lovers of the Red Sky,16,30-Aug-21,26-Oct-21,SBS Viki ViuTV,70,8.1,8977,1066,366,15+ - Teens 15 or older,"23,698"
Insider,16,8-Jun-22,28-Jul-22,jTBC,64,8,1151,1421,1560,18+ Restricted (violence & profanity),"6,417"
18 Again,16,21-Sep-20,10-Nov-20,jTBC,70,8.7,21373,104,125,15+ - Teens 15 or older,"47,451"
Touch Your Heart,16,6-Feb-19,28-Mar-19,tvN,70,8.3,36234,669,51,15+ - Teens 15 or older,"74,166"
Lawless Lawyer,16,12-May-18,1-Jul-18,tvN,66,8.3,19011,682,141,15+ - Teens 15 or older,"45,082"
Police University,16,9-Aug-21,5-Oct-21,KBS2,70,7.9,7167,1689,494,15+ - Teens 15 or older,"19,125"
Melting Me Softly,16,28-Sep-19,17-Nov-19,tvN,65,7.6,18182,3173,138,15+ - Teens 15 or older,"45,469"
Love All Play,16,20-Apr-22,9-Jun-22,KBS2,70,8.4,6186,475,566,15+ - Teens 15 or older,"17,475"
Uncontrollably Fond,20,6-Jul-16,8-Sep-16,KBS2,60,8.1,28154,1213,71,15+ - Teens 15 or older,"64,683"
One Spring Night,32,22-May-19,11-Jul-19,MBC Netflix,35,8.4,17215,537,201,15+ - Teens 15 or older,"36,204"
100 Days My Prince,16,10-Sep-18,30-Oct-18,tvN,75,8.3,21251,553,136,15+ - Teens 15 or older,"45,813"
Kiss Sixth Sense,12,25-May-22,29-Jun-22,N/A,70,8.1,3802,1229,990,15+ - Teens 15 or older,"10,269"
Again My Life,16,8-Apr-22,28-May-22,SBS ViuTV,65,8.3,5476,609,598,15+ - Teens 15 or older,"16,793"
Dream High,16,30-Jan-12,20-Mar-12,KBS2,65,6.9,17942,5945,218,15+ - Teens 15 or older,"34,365"
The Bride of Habaek,16,3-Jul-17,22-Aug-17,tvN,70,7.4,32110,4427,60,15+ - Teens 15 or older,"69,315"
Jingkeuseuui Yeonin,16,15-Jun-22,4-Aug-22,KBS2 Viki,70,7.4,2579,4380,925,15+ - Teens 15 or older,"11,117"
She Was Pretty,16,16-Sep-15,11-Nov-15,MBC,60,8.1,46053,1266,26,15+ - Teens 15 or older,"88,230"
Law School,16,14-Apr-21,9-Jun-21,jTBC Netflix,65,8.7,15874,157,214,15+ - Teens 15 or older,"34,708"
"Kill Me, Heal Me",20,7-Jan-15,12-Mar-15,MBC,62,8.7,43239,124,22,15+ - Teens 15 or older,"93,311"
Aelliseu,16,28-Aug-20,24-Oct-20,SBS,70,7.4,4817,4639,798,15+ - Teens 15 or older,"13,007"
When the Weather is Fine,16,24-Feb-20,21-Apr-20,jTBC Viki,60,8.3,13729,641,172,15+ - Teens 15 or older,"38,505"
City Hunter,20,25-May-11,28-Jul-11,SBS,70,8.4,39674,534,45,15+ - Teens 15 or older,"77,211"
