Kdrama_name,Episodes,start airing,end airing,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers
Priest,16,24-Nov-18,20-Jan-19,OCN,60,7.9,1708,1735,1768,15+ - Teens 15 or older,"5,468"
Padam Padam,20,5-Dec-11,7-Feb-12,jTBC,65,7.7,3250,2722,1021,15+ - Teens 15 or older,"9,974"
The Emperor: Owner of the Mask,40,10-May-17,13-Jul-17,MBC,30,8,7185,1629,486,15+ - Teens 15 or older,"19,363"
Lucky Romance,16,25-May-16,14-Jul-16,MBC,60,7.8,12303,2539,325,15+ - Teens 15 or older,"26,125"
You Are My Destiny,20,2-Jul-14,4-Sep-14,MBC,60,8.2,28015,985,102,15+ - Teens 15 or older,"53,764"
Entertainer,18,20-Apr-16,16-Jun-16,SBS,60,7.7,7377,2913,554,15+ - Teens 15 or older,"17,808"
Choco Bank,6,15-Feb-16,21-Feb-16,Naver TV Cast,14,7.1,4666,5475,1108,13+ - Teens 13 or older,"9,186"
The Third Charm,16,28-Sep-18,17-Nov-18,jTBC,75,6.8,4746,6057,706,15+ - Teens 15 or older,"14,385"
Lookout,32,22-May-17,11-Jul-17,MBC,35,8.3,7753,645,431,15+ - Teens 15 or older,"21,245"
Fates and Furies,40,1-Dec-18,9-Feb-19,SBS Viki,30,7.5,1377,4191,2245,15+ - Teens 15 or older,"4,210"
The Time We Were Not in Love,16,27-Jun-15,16-Aug-15,SBS,64,7.5,7406,4213,547,15+ - Teens 15 or older,"17,910"
Begin Again,16,8-Jul-20,2-Sep-20,jTBC Netflix,70,7.3,7706,4776,621,15+ - Teens 15 or older,"16,260"
Diary of a Prosecutor,16,16-Dec-19,11-Feb-20,jTBC,65,8.2,1543,998,1850,15+ - Teens 15 or older,"5,233"
Alone in Love,16,3-Apr-06,23-May-06,SBS,60,7.5,459,3953,3982,15+ - Teens 15 or older,"1,935"
Local Hero,16,23-Jan-16,20-Mar-16,OCN,65,7.3,2035,5111,1386,Not Yet Rated,"7,340"
Children of a Lesser God,16,3-Mar-18,22-Apr-18,OCN,67,8,1327,1513,1897,15+ - Teens 15 or older,"5,077"
"My Daughter, Geum Sa-wol",51,5-Sep-15,28-Feb-16,MBC,75,7.2,516,5432,4000,15+ - Teens 15 or older,"1,923"
Joseon Exorcist,2,22-Mar-21,23-Mar-21,SBS Viki,70,7.8,930,2161,2166,18+ Restricted (violence & profanity),"4,390"
Hotelier,20,4-Apr-01,7-Jun-01,MBC,65,7.5,719,4163,4626,Not Yet Rated,"1,537"
Dream,20,27-Jul-09,29-Sep-09,SBS,70,6.9,771,5978,3452,15+ - Teens 15 or older,"2,408"
Unasked Family,123,28-Oct-19,17-Apr-20,KBS1,30,7.5,237,43005,7006,15+ - Teens 15 or older,806
Mystery Queen,16,5-Apr-17,25-May-17,KBS2,60,8.2,3814,907,991,15+ - Teens 15 or older,"10,258"
Unexpected You,58,25-Feb-12,9-Sep-12,KBS2,80,7.9,1006,1812,2496,15+ - Teens 15 or older,"3,701"
Kkondae Intern,24,20-May-20,1-Jul-20,MBC,35,7.9,2358,1880,1442,15+ - Teens 15 or older,"7,000"
You Are the Best!,50,9-Mar-13,25-Aug-13,KBS2,67,7.4,5839,4422,746,Not Yet Rated,"13,724"
Pride and Prejudice,21,27-Oct-14,13-Jan-15,MBC,60,7.6,3974,3589,913,15+ - Teens 15 or older,"11,353"
Second to Last Love,20,30-Jul-16,16-Oct-16,SBS,65,7.4,1343,4385,2150,15+ - Teens 15 or older,"4,431"
Second 20s,16,28-Aug-15,17-Oct-15,tvN,62,8.1,8604,1349,508,15+ - Teens 15 or older,"18,825"
My Secret Hotel,16,18-Aug-14,14-Oct-14,tvN,63,7.3,5490,4814,736,15+ - Teens 15 or older,"13,857"
Whisper,17,27-Mar-17,23-May-17,SBS,60,7.7,2737,2774,1262,15+ - Teens 15 or older,"8,131"
Goodbye to Goodbye,40,26-May-18,4-Aug-18,MBC,30,7.9,1305,1677,1983,15+ - Teens 15 or older,"4,846"
Discovery of Love,16,18-Aug-14,7-Oct-14,KBS2,62,7.6,5541,3362,793,15+ - Teens 15 or older,"13,170"
May Queen,38,18-Aug-12,23-Dec-12,MBC,65,7.5,2057,3999,1967,13+ - Teens 13 or older,"4,890"
Your Honor,32,25-Jul-18,20-Sep-18,SBS,35,8.1,4359,1267,895,15+ - Teens 15 or older,"11,618"
Monster,50,28-Mar-16,20-Sep-16,MBC,63,7.4,1381,4442,1806,15+ - Teens 15 or older,"5,362"
My Runway,6," Dec 31, 2016",N/A,MBC Dramanet,22,7.2,4268,5305,1333,15+ - Teens 15 or older,"7,602"
Band of Sisters,68,15-Apr-17,14-Oct-17,SBS,65,7.7,509,2940,4164,15+ - Teens 15 or older,"1,816"
Jugglers,16,4-Dec-17,23-Jan-18,KBS2,63,7.8,6941,2603,625,15+ - Teens 15 or older,"16,150"
"Me Too, Flower!",15,9-Nov-11,28-Dec-11,MBC,70,7.5,7821,3978,676,15+ - Teens 15 or older,"14,956"
Dr. Jin,22,26-May-12,12-Aug-12,MBC,65,6.9,3921,5920,1088,13+ - Teens 13 or older,"9,385"
Last,16,24-Jul-15,12-Sep-15,jTBC,60,7.9,1233,1838,2413,15+ - Teens 15 or older,"3,849"
Gu Am Heo Joon,135,18-Mar-13,27-Sep-13,MBC,31,8,195,36805,5919,15+ - Teens 15 or older,"1,061"
Less Than Evil,32,3-Dec-18,29-Jan-19,MBC,35,7.9,995,1873,2602,18+ Restricted (violence & profanity),"3,526"
Woman of 9.9 Billion,32,4-Dec-19,23-Jan-20,KBS2,35,7.6,1064,3646,2634,15+ - Teens 15 or older,"3,473"
A Pledge to God,48,24-Nov-18,16-Feb-19,MBC,25,7.6,405,3452,4210,15+ - Teens 15 or older,"1,782"
Thank You,16,21-Mar-07,10-May-07,MBC,61,8.1,2462,1103,1759,13+ - Teens 13 or older,"5,516"
My Dangerous Wife,16,5-Oct-20,24-Nov-20,MBN,70,7.8,884,2417,2894,18+ Restricted (violence & profanity),"3,057"
Revolutionary Sisters,50,13-Mar-21,18-Sep-21,KBS2,70,7.4,429,4453,3458,15+ - Teens 15 or older,"2,402"
Money Game,16,15-Jan-20,5-Mar-20,tvN,70,7.8,503,2229,3614,15+ - Teens 15 or older,"2,255"
I Need Romance 3,16,13-Jan-14,4-Mar-14,tvN,47,7.9,8019,2130,618,Not Yet Rated,"16,318"
Sweet Munchies,12,25-May-20,30-Jun-20,jTBC Viki,65,7,1646,5841,1811,15+ - Teens 15 or older,"5,332"
Different Dreams,40,4-May-19,13-Jul-19,MBC,27,7.8,605,2266,2798,15+ - Teens 15 or older,"3,197"
Cheongdam-dong Alice,16,1-Dec-12,27-Jan-13,SBS,70,7.2,8041,5383,652,15+ - Teens 15 or older,"15,357"
Nonstop,55,15-May-00,28-Jul-00,MBC,20,7.4,17,45086,12906,Not Yet Rated,252
Pretty Boy,16,20-Nov-13,9-Jan-14,KBS2,60,6.7,8893,6160,498,Not Yet Rated,"19,066"
On the Verge of Insanity,16,23-Jun-21,26-Aug-21,MBC,70,8.1,701,1319,3009,15+ - Teens 15 or older,"2,912"
Medical Top Team,20,9-Oct-13,12-Dec-13,MBC,60,7.2,2259,5360,1541,15+ - Teens 15 or older,"6,512"
Emperor of the Sea,51,24-Nov-04,25-May-05,KBS2,65,7.7,832,2768,4256,15+ - Teens 15 or older,"1,748"
Can We Get Married?,20,29-Oct-12,1-Jan-13,jTBC,56,7.1,2985,5554,1271,15+ - Teens 15 or older,"8,075"
Fashion King,20,19-Mar-12,22-May-12,SBS,75,5.8,4530,6328,1048,Not Yet Rated,"9,749"
The Wind Blows,16,27-May-19,16-Jul-19,jTBC,70,7.8,448,2626,4038,15+ - Teens 15 or older,"1,897"
My Lovely Girl,16,17-Sep-14,6-Nov-14,SBS,60,6.8,9144,6014,460,15+ - Teens 15 or older,"20,145"
Lovely Horribly,32,13-Aug-18,2-Oct-18,KBS2,35,7.1,4282,5477,800,15+ - Teens 15 or older,"12,971"
Immortal Yi Soon-shin,104,4-Sep-04,28-Aug-05,KBS1,65,7.9,59,38045,10558,15+ - Teens 15 or older,378
The King and I,63,27-Aug-07,1-Apr-08,SBS,70,7.4,256,43652,5459,Not Yet Rated,"1,207"
Ms. Temper & Nam Jung-Gi,16,18-Mar-16,7-May-16,jTBC,65,7.7,2573,2787,1573,15+ - Teens 15 or older,"6,360"
Passionate Love,47,28-Sep-13,23-Mar-14,SBS,65,6.9,455,5913,3692,Not Yet Rated,"2,179"
All About My Romance,16,4-Apr-13,29-May-13,SBS,63,7.6,1933,3428,1838,15+ - Teens 15 or older,"5,254"
One Warm Word,20,2-Dec-13,24-Feb-14,SBS,65,7.2,832,5364,3421,15+ - Teens 15 or older,"2,440"
I Need Romance 2012,16,20-Jun-12,9-Aug-12,tvN,50,7.5,4155,3880,1122,Not Yet Rated,"9,041"
The Great Show,16,26-Aug-19,15-Oct-19,tvN,66,7.8,2127,2178,1680,15+ - Teens 15 or older,"5,884"
Flower Boy Ramyun Shop,16,31-Oct-11,20-Dec-11,tvN,45,7.4,19792,4654,181,15+ - Teens 15 or older,"37,717"
"I Do, I Do",16,30-May-12,19-Jul-12,MBC,65,7.3,6634,4794,813,Not Yet Rated,"12,816"
Big Issue,32,6-Mar-19,2-May-19,SBS,35,7.9,1242,1934,2259,15+ - Teens 15 or older,"4,183"
Divorce Lawyer in Love,18,18-Apr-15,14-Jun-15,SBS,64,7.4,2583,4585,1471,Not Yet Rated,"6,810"
Can You Hear My Heart?,30,2-Apr-11,10-Jul-11,MBC,65,8.1,7057,1109,620,15+ - Teens 15 or older,"16,286"
Dae Wang Sejong,86,5-Jan-08,16-Nov-08,KBS1,50,7.9,189,37221,5035,Not Yet Rated,"1,368"
Lies of Lies,16,4-Sep-20,24-Oct-20,Channel A,69,8.3,3448,565,1038,15+ - Teens 15 or older,"9,855"
Special Affairs Team TEN,9,18-Nov-11,13-Jan-12,OCN,72,8.3,2586,777,1412,Not Yet Rated,"7,157"
A Poem a Day,16,26-Mar-18,15-May-18,tvN,65,7.9,6015,1900,580,15+ - Teens 15 or older,"17,091"
Brilliant Heritage,122,20-Apr-20,9-Oct-20,KBS1,30,7.5,201,43613,7428,15+ - Teens 15 or older,724
Heard It Through the Grapevine,30,23-Feb-15,2-Jun-15,SBS,60,7.7,1875,3130,1451,15+ - Teens 15 or older,"6,959"
Delayed Justice,20,30-Oct-20,23-Jan-21,SBS,65,7.7,464,3092,4330,15+ - Teens 15 or older,"1,697"
I Need Romance,16,8-Jun-11,2-Aug-11,tvN,45,7.3,4715,4875,999,Not Yet Rated,"10,165"
Marry Him If You Dare,16,14-Oct-13,3-Dec-13,KBS2,63,6.6,6438,6238,720,15+ - Teens 15 or older,"14,171"
Heart to Heart,16,9-Jan-15,7-Mar-15,tvN,60,7.9,5711,1757,744,15+ - Teens 15 or older,"13,732"
My Spring Days,16,10-Sep-14,30-Oct-14,MBC,60,7.6,1314,3398,2365,15+ - Teens 15 or older,"3,956"
The Great Merchant,30,6-Mar-10,13-Jun-10,KBS1,55,7.5,217,43483,7507,15+ - Teens 15 or older,710
Meloholic,10,6-Nov-17,5-Dec-17,OCN Oksusu Viki,60,7.4,5116,4481,883,15+ - Teens 15 or older,"11,743"
Temptation,20,14-Jul-14,16-Sep-14,SBS,60,7.1,1389,5632,2569,15+ - Teens 15 or older,"3,584"
My Husband Oh Jak-doo,24,3-Mar-18,19-May-18,MBC,70,7.6,2728,3410,1581,15+ - Teens 15 or older,"6,328"
The Lover,12,2-Apr-15,25-Jun-15,Mnet,50,7.9,8586,2118,417,18+ Restricted (violence & profanity),"21,789"
Hidden Identity,16,16-Jun-15,4-Aug-15,tvN,60,7.7,1852,2864,1654,Not Yet Rated,"6,042"
Man Who Sets the Table,50,2-Sep-17,18-Mar-18,MBC,75,7.2,468,5161,3817,15+ - Teens 15 or older,"2,077"
Item,32,11-Feb-19,2-Apr-19,MBC,35,7.4,1858,4419,1448,15+ - Teens 15 or older,"6,964"
Times,12,20-Feb-21,28-Mar-21,OCN,60,7.7,1175,3072,2307,15+ - Teens 15 or older,"4,096"
Big Man,16,28-Apr-14,17-Jun-14,KBS2,60,7.3,2026,5036,1748,Not Yet Rated,"5,557"
Mrs. Cop,18,3-Aug-15,29-Sep-15,SBS,65,7.9,1612,1977,1911,Not Yet Rated,"5,036"
Sandglass,24,9-Jan-95,16-Feb-95,SBS,51,8.1,215,36253,5190,Not Yet Rated,"1,301"
Argon,8,4-Sep-17,26-Sep-17,tvN,70,8,1614,1471,2223,15+ - Teens 15 or older,"4,256"
Hur Jun,64,22-Nov-99,27-Jun-00,MBC,60,7.9,143,37985,9955,Not Yet Rated,425
Punch,19,15-Dec-14,17-Feb-15,SBS,62,8.1,1461,1214,1773,15+ - Teens 15 or older,"5,458"
Standby,113,9-Apr-12,5-Oct-12,MBC,23,7.5,132,43546,6221,Not Yet Rated,986
Mom,54,15-Aug-15,14-Feb-16,KBS2,80,7.9,1373,2071,2743,Not Yet Rated,"3,298"
Jeong Do-jeon,50,4-Jan-14,29-Jun-14,KBS1,50,7.7,98,40533,7396,Not Yet Rated,731
Chakhanmanyeojeon,40,3-Mar-18,5-May-18,SBS,35,7.9,1982,2011,1791,15+ - Teens 15 or older,"5,406"
Babel,16,27-Jan-19,24-Mar-19,TV Chosun Viki,60,7.4,676,4551,3092,18+ Restricted (violence & profanity),"2,819"
My Healing Love,80,14-Oct-18,3-Mar-19,MBC,35,7.5,265,3768,5280,Not Yet Rated,"1,270"
Sponsor,12,23-Feb-22,6-Apr-22,MBN Viki,56,6.3,257,55462,3535,15+ - Teens 15 or older,"2,328"
Your House Helper,32,4-Jul-18,29-Aug-18,KBS2,30,7.9,3580,2088,1104,15+ - Teens 15 or older,"9,197"
The Family Is Coming,20,3-Jan-15,15-Mar-15,SBS,60,7.1,505,5508,3624,15+ - Teens 15 or older,"2,247"
Andante,16,24-Sep-17,7-Jan-18,KBS1,60,7.5,3008,3962,1074,15+ - Teens 15 or older,"9,513"
Bad Papa,32,1-Oct-18,27-Nov-18,MBC,35,7.7,860,3159,3033,13+ - Teens 13 or older,"2,883"
Legal High,16,8-Feb-19,30-Mar-19,jTBC Viki,60,7.6,1238,3358,2439,15+ - Teens 15 or older,"3,805"
Working Mom,16,30-Jul-08,18-Sep-08,SBS,60,7.2,15,47366,99999,Not Yet Rated,170
New Heart,23,12-Dec-07,28-Feb-08,MBC,60,7.7,657,2927,4179,15+ - Teens 15 or older,"1,803"
"Take Care of Us, Captain",20,4-Jan-12,8-Mar-12,SBS,65,7,1280,5739,3019,13+ - Teens 13 or older,"2,901"
Phoenix,26,5-Apr-04,29-Jun-04,MBC,60,7.3,437,5049,5735,13+ - Teens 13 or older,"1,117"
Dae Jang-Geum Is Watching,16,11-Oct-18,24-Jan-19,MBC,70,7.5,931,3750,2684,15+ - Teens 15 or older,"3,410"
Dae Jang-Geum Is Watching,16,11-Oct-18,24-Jan-19,MBC,70,7.5,931,3750,2684,15+ - Teens 15 or older,"3,410"
Late Night Restaurant,20,4-Jul-15,5-Sep-15,SBS,30,7.7,605,2677,3415,Not Yet Rated,"2,447"
One Well-Raised Daughter,122,2-Dec-13,30-May-14,SBS,40,7.3,852,4880,2802,Not Yet Rated,"3,193"
Bachelor's Vegetable Store,24,21-Dec-11,8-Mar-12,Channel A,70,7,2025,5690,1682,13+ - Teens 13 or older,"5,864"
7th Grade Civil Servant,20,23-Jan-13,28-Mar-13,MBC,65,6.9,4686,5933,984,15+ - Teens 15 or older,"10,347"
Home for Summer,128,29-Apr-19,25-Oct-19,KBS1,30,7.4,317,4669,5789,15+ - Teens 15 or older,"1,093"
A Thousand Days' Promise,20,17-Oct-11,20-Dec-11,SBS,65,7.6,1426,3584,2278,15+ - Teens 15 or older,"4,148"
Life Is Beautiful,16,14-May-01,3-Jul-01,KBS2,65,7.2,129,47247,7178,15+ - Teens 15 or older,771
Just Dance,16,3-Dec-18,25-Dec-18,KBS2,30,7.9,1559,1703,1817,13+ - Teens 13 or older,"5,325"
Eccentric! Chef Moon,16,27-Mar-20,16-May-20,Channel A,65,7.6,1324,3393,2593,15+ - Teens 15 or older,"3,532"
Happy Together,16,16-Jun-99,5-Aug-99,SBS,65,7.3,140,47006,8894,Not Yet Rated,523
Endless Love,37,21-Jun-14,26-Oct-14,SBS,60,7.2,658,5212,2995,Not Yet Rated,"2,929"
Splendid Politics,50,13-Apr-15,29-Sep-15,MBC,60,7.5,810,3789,2660,15+ - Teens 15 or older,"3,438"
Ms. Perfect,20,27-Feb-17,2-May-17,KBS2,60,7.4,1153,4360,2507,15+ - Teens 15 or older,"3,678"
Risky Romance,32,23-Jul-18,17-Sep-18,MBC,35,7.5,1651,3856,1952,15+ - Teens 15 or older,"4,919"
Secrets and Lies,122,25-Jun-18,11-Jan-19,MBC,35,6.7,74,53124,8948,15+ - Teens 15 or older,518
Hundred Year Inheritance,50,5-Jan-13,23-Jun-13,MBC,80,7.2,1506,5369,2659,15+ - Teens 15 or older,"3,439"
Bravo My Life,120,11-Apr-22,29-Sep-22,KBS1,30,7.8,152,39226,5881,15+ - Teens 15 or older,"1,070"
Romance Town,20,11-May-11,14-Jul-11,KBS2,68,6.3,2285,6292,2125,15+ - Teens 15 or older,"4,485"
Lovers in Bloom,120,29-May-17,10-Nov-17,KBS1,35,7.5,729,4066,3267,15+ - Teens 15 or older,"2,594"
Vampire Prosecutor,12,2-Oct-11,18-Dec-11,OCN,58,8.2,5361,919,775,15+ - Teens 15 or older,"13,410"
Feast of the Gods,32,4-Feb-12,20-May-12,MBC,65,7.4,1170,4456,2980,Not Yet Rated,"2,954"
The Greatest Marriage,16,27-Sep-14,27-Dec-14,TV Chosun,60,7.2,2869,5407,1436,Not Yet Rated,"7,036"
Which Star Are You From,16,13-Mar-06,2-May-06,MBC,65,7.4,1325,4517,2978,15+ - Teens 15 or older,"2,958"
Secret Mother,32,12-May-18,7-Jul-18,SBS,30,7.9,707,1918,3121,15+ - Teens 15 or older,"2,781"
The Blade and Petal,20,3-Jul-13,5-Sep-13,KBS2,64,6.9,698,5975,2942,Not Yet Rated,"3,003"
Not Yet Thirty,15,23-Feb-21,13-Apr-21,Daum Kakao TV Viki,20,7,2830,5700,1256,15+ - Teens 15 or older,"8,141"
Monstar,12,17-May-13,2-Aug-13,Mnet,85,7.3,10876,5063,394,15+ - Teens 15 or older,"22,489"
Let Me Introduce Her,40,14-Jul-18,29-Sep-18,SBS,35,7.6,1151,3179,2482,15+ - Teens 15 or older,"3,733"
My Little Baby,16,5-Mar-16,23-Apr-16,MBC,45,7.4,1447,4329,2306,G - All Ages,"4,096"
Hide and Seek,48,25-Aug-18,17-Nov-18,MBC,30,7.5,587,4090,3566,15+ - Teens 15 or older,"2,294"
Thousand Years of Love,10,5-Dec-16,23-Dec-16,Naver TV Cast,20,7.5,2426,3744,1546,13+ - Teens 13 or older,"6,489"
Thousand Years of Love,10,5-Dec-16,23-Dec-16,Naver TV Cast,20,7.5,2426,3744,1546,13+ - Teens 13 or older,"6,489"
The Great Seer,35,10-Oct-12,7-Feb-13,SBS,65,7.3,746,5121,3468,15+ - Teens 15 or older,"2,389"
Stars Falling from the Sky,16,3-Oct-18,22-Nov-18,tvN,64,8.3,16803,631,128,15+ - Teens 15 or older,"47,129"
A New Leaf,16,30-Apr-14,26-Jun-14,MBC,60,6.8,1216,6097,2623,15+ - Teens 15 or older,"3,497"
One Sunny Day,10,19-Dec-14,10-Jan-15,LINE TV,12,7.5,2665,4038,1602,Not Yet Rated,"6,246"
The King of Dramas,18,5-Nov-12,7-Jan-13,SBS,65,7.8,4797,2595,958,15+ - Teens 15 or older,"10,613"
Ice Adonis,108,27-Feb-12,30-Aug-12,tvN,40,7.8,581,2605,4048,Not Yet Rated,"1,892"
Happy If You Died,32,7-Nov-18,27-Dec-18,KBS2,35,7.8,2461,2394,1375,15+ - Teens 15 or older,"7,400"
Delicious Proposal,16,7-Feb-01,29-Mar-01,MBC,60,7.3,156,47004,7239,13+ - Teens 13 or older,760
On the Way to the Airport,16,21-Sep-16,10-Nov-16,KBS2,60,7.8,2608,2428,1438,15+ - Teens 15 or older,"7,013"
Seoul 1945,71,7-Jan-06,10-Sep-06,KBS1,50,7.8,47,39177,11688,Not Yet Rated,310
Poseidon,16,19-Sep-11,8-Nov-11,KBS2,67,6.9,1726,5874,2260,Not Yet Rated,"4,182"
Sweet Enemy,124,12-Jun-17,1-Dec-17,SBS,35,6.8,178,52413,7294,15+ - Teens 15 or older,751
Spotlight,16,14-May-08,3-Jul-08,MBC,70,7,189,50699,7258,Not Yet Rated,757
Return,34,17-Jan-18,22-Mar-18,SBS,35,7.8,1298,2426,2327,15+ - Teens 15 or older,"4,030"
How to Buy a Friend,8,6-Apr-20,14-Apr-20,KBS2,35,7.9,2568,2129,1310,15+ - Teens 15 or older,"7,782"
Taejo Wang Geon,200,1-Apr-00,24-Feb-02,KBS1,60,7.4,58,44819,12306,15+ - Teens 15 or older,277
Tazza,21,16-Sep-08,25-Nov-08,SBS,75,7.5,512,4125,3969,15+ - Teens 15 or older,"1,945"
You and I,58,11-Oct-97,26-Apr-98,MBC,N/A,7.7,9,39682,99999,Not Yet Rated,123
Glory Jane,24,12-Oct-11,28-Dec-11,KBS2,66,7,1960,5779,2189,Not Yet Rated,"4,346"
Three Days,16,5-Mar-14,1-May-14,SBS,60,7.7,2811,2946,1431,Not Yet Rated,"7,055"
The Sons of Sol Pharmacy House,54,11-Apr-09,11-Oct-09,KBS2,65,7.6,285,41547,5367,Not Yet Rated,"1,243"
The Queen's Classroom,16,12-Jun-13,1-Aug-13,MBC,65,7.9,1514,1816,2356,15+ - Teens 15 or older,"3,974"
Ruby Ring,93,19-Aug-13,3-Jan-14,KBS2,40,7.3,175,47040,8083,15+ - Teens 15 or older,621
My Beautiful Bride,16,20-Jun-15,9-Aug-15,OCN,60,7.9,2280,1834,1261,15+ - Teens 15 or older,"8,134"
Woman with a Suitcase,16,26-Sep-16,15-Nov-16,MBC,60,7.5,1213,3850,2645,15+ - Teens 15 or older,"3,457"
Memory,16,18-Mar-16,7-May-16,tvN,65,8.3,1331,760,1558,15+ - Teens 15 or older,"6,425"
Pegasus Market,12,20-Sep-19,6-Dec-19,tvN,75,8.2,1491,860,2041,15+ - Teens 15 or older,"4,696"
Left-Handed Wife,103,2-Jan-19,31-May-19,KBS2,35,7.2,251,48048,4598,15+ - Teens 15 or older,"1,551"
My Unfortunate Boyfriend,16,10-Apr-15,30-May-15,MBC Dramanet,50,7.1,3200,5493,1156,13+ - Teens 13 or older,"8,811"
Golden Time,23,9-Jul-12,25-Sep-12,MBC,65,7.4,711,4371,3648,Not Yet Rated,"2,228"
Secrets of Women,104,27-Jun-16,25-Nov-16,KBS2,35,7.2,139,48029,7774,Not Yet Rated,664
Pink Lipstick,149,11-Jan-10,6-Aug-10,MBC,40,7.2,418,5206,6141,15+ - Teens 15 or older,"1,010"
Vampire Idol,79,5-Dec-11,30-Mar-12,MBN,30,7.3,412,46168,2868,Not Yet Rated,"3,089"
A Place in the Sun,102,3-Jun-19,1-Nov-19,KBS2,35,7.4,221,45014,4610,15+ - Teens 15 or older,"1,545"
Chungil Electronics Miss Lee,16,25-Sep-19,14-Nov-19,tvN,65,7.2,294,47224,4797,15+ - Teens 15 or older,"1,464"
Avengers Social Club,12,11-Oct-17,16-Nov-17,tvN,66,8.6,5087,265,763,15+ - Teens 15 or older,"13,564"
Mr. Baek,16,5-Nov-14,25-Dec-14,MBC,60,7.2,2015,5269,1687,15+ - Teens 15 or older,"5,844"
The Devil,12,2022,?,SBS,N/A,N/A,N/A,32190,6587,Not Yet Rated,891
Golden Cross,20,9-Apr-14,19-Jun-14,KBS2,60,7.3,669,4840,3498,Not Yet Rated,"2,365"
Secret Boutique,32,18-Sep-19,28-Nov-19,SBS,30,7.7,709,2876,2944,15+ - Teens 15 or older,"3,003"
Happy Sisters,120,4-Dec-17,25-May-18,SBS,35,7.6,148,41427,9312,15+ - Teens 15 or older,484
First Love Again,6,10-Feb-22,18-Mar-22,N/A,25,7.3,5637,5035,868,13+ - Teens 13 or older,"11,916"
The Return of Hwang Geum-Bok,125,8-Jun-15,11-Dec-15,SBS,40,7.2,45,47688,10929,Not Yet Rated,352
We Are Dating Now,16,16-Jan-02,7-Mar-02,SBS,60,7,407,5780,5327,15+ - Teens 15 or older,"1,256"
Blow Breeze,53,27-Aug-16,26-Feb-17,MBC,75,7.1,398,5546,4149,15+ - Teens 15 or older,"1,824"
Miss Ripley,16,30-May-11,19-Jul-11,MBC,65,6.7,2280,6126,1815,15+ - Teens 15 or older,"5,329"
Lovers in Prague,18,24-Sep-05,20-Nov-05,SBS,65,7.2,450,5444,5228,15+ - Teens 15 or older,"1,290"
The Musical,15,2-Sep-11,16-Dec-11,SBS,65,6.5,2221,6259,2103,15+ - Teens 15 or older,"4,523"
Radiant Office,16,15-Mar-17,4-May-17,MBC,60,7.6,4362,3650,1010,15+ - Teens 15 or older,"10,061"
The Birth of a Family,115,5-Dec-12,17-May-13,SBS,40,7.4,46,44124,10289,Not Yet Rated,399
The 3rd Hospital,20,5-Sep-12,8-Nov-12,tvN,45,7.5,635,4005,4547,Not Yet Rated,"1,577"
Our Gap-soon,61,27-Aug-16,8-Apr-17,SBS,70,7.1,1107,5559,2218,Not Yet Rated,"4,263"
Doctor Frost,10,23-Nov-14,1-Feb-15,OCN,64,7.7,2780,3012,1346,Not Yet Rated,"7,546"
Twelve Nights,12,12-Oct-18,28-Dec-18,Channel A Viki,75,7.4,1244,4587,2110,15+ - Teens 15 or older,"4,508"
"Oh, the Mysterious",40,27-Nov-17,30-Jan-18,SBS,30,7.5,1587,3852,2026,15+ - Teens 15 or older,"4,762"
Unstoppable Marriage,140,5-Nov-07,30-May-08,KBS2,40,7.4,144,44999,7805,15+ - Teens 15 or older,660
The Full Sun,16,17-Feb-14,8-Apr-14,KBS2,60,7.6,1758,3336,1951,15+ - Teens 15 or older,"4,921"
Dalkomhan seupai,20,7-Nov-05,10-Jan-06,MBC,60,7.2,651,5288,4899,Not Yet Rated,"1,423"
Spy,16,9-Jan-15,6-Mar-15,KBS2,50,7.3,1542,4929,1743,Not Yet Rated,"5,583"
Drinking Solo,16,5-Sep-16,25-Oct-16,tvN,64,7.7,5934,3014,726,15+ - Teens 15 or older,"14,116"
Pied Piper,16,7-Mar-16,26-Apr-16,tvN,65,7.9,1046,1682,2270,15+ - Teens 15 or older,"4,162"
Doctor Detective,32,17-Jul-19,5-Sep-19,SBS,35,7.7,521,2807,3279,15+ - Teens 15 or older,"2,582"
Super Daddy Yeol,16,13-Mar-15,2-May-15,tvN,65,7.6,1947,3454,1913,Not Yet Rated,"5,027"
Chip In,8,22-Jul-20,13-Aug-20,MBC,60,7.8,1324,2268,2875,15+ - Teens 15 or older,"3,079"
Lovers,71,5-Nov-01,23-Dec-02,MBC,60,7,6,50889,99999,13+ - Teens 13 or older,26
First Love,57,15-Jan-86,14-Aug-86,MBC,65,6.6,4,54349,99999,Not Yet Rated,21
My Love by My Side,50,7-May-11,23-Oct-11,SBS,57,7.3,319,4752,6773,Not Yet Rated,851
Wanted,16,22-Jun-16,18-Aug-16,SBS,60,7.7,1859,2761,1750,15+ - Teens 15 or older,"5,548"
Angel's Revenge,103,6-Jan-14,2-Jun-14,KBS2,40,7.3,415,5041,5086,Not Yet Rated,"1,344"
King's Family,50,31-Aug-13,16-Feb-14,KBS2,64,7.5,891,4115,3700,Not Yet Rated,"2,172"
Baby Faced Beauty,20,2-May-11,5-Jul-11,KBS2,65,7.1,4766,5609,1061,15+ - Teens 15 or older,"9,592"
