kdrama_name,original_networks
Delayed Justice,SBS
I Need Romance,tvN
Marry Him If You Dare,KBS
Heart to Heart,tvN
My Spring Days,MBC
The Great Merchant,KBS
Meloholic,OCN
Meloholic, Oksusu
Meloholic, Viki
Temptation,SBS
My Husband Oh Jak-doo,MBC
The Lover,Mnet
Hidden Identity,tvN
Man Who Sets the Table,MBC
Item,MBC
Times,OCN
Big Man,KBS
Mrs. Cop,SBS
Sandglass,SBS
Argon,tvN
Hur Jun,MBC
Punch,SBS
Standby,MBC
Mom,KBS
Jeong Do-jeon,KBS
Chakhanmanyeojeon,SBS
Babel,TV Chosun
Babel, Viki
My Healing Love,MBC
Sponsor,MBN
Sponsor, Viki
Your House Helper,KBS
The Family Is Coming,SBS
Andante,KBS
Bad Papa,MBC
Legal High,jTBC
Legal High, Viki
Working Mom,SBS
New Heart,MBC
"Take Care of Us, Captain",SBS
Phoenix,MBC
Dae Jang-Geum Is Watching,MBC
Dae Jang-Geum Is Watching,MBC
Late Night Restaurant,SBS
One Well-Raised Daughter,SBS
Bachelor's Vegetable Store,Channel A
7th Grade Civil Servant,MBC
Home for Summer,KBS
A Thousand Days' Promise,SBS
Life Is Beautiful,KBS
Just Dance,KBS
Eccentric! Chef Moon,Channel A
Happy Together,SBS
Endless Love,SBS
Splendid Politics,MBC
Ms. Perfect,KBS
Risky Romance,MBC
Secrets and Lies,MBC
Hundred Year Inheritance,MBC
Bravo My Life,KBS
Romance Town,KBS
Lovers in Bloom,KBS
Vampire Prosecutor,OCN
Feast of the Gods,MBC
The Greatest Marriage,TV Chosun
Which Star Are You From,MBC
Secret Mother,SBS
The Blade and Petal,KBS
Not Yet Thirty,Daum Kakao TV
Not Yet Thirty, Viki
Monstar,Mnet
Let Me Introduce Her,SBS
My Little Baby,MBC
Hide and Seek,MBC
Thousand Years of Love,Naver TV Cast
Thousand Years of Love,Naver TV Cast
The Great Seer,SBS
Stars Falling from the Sky,tvN
A New Leaf,MBC
One Sunny Day,LINE TV
The King of Dramas,SBS
Ice Adonis,tvN
Happy If You Died,KBS
Delicious Proposal,MBC
On the Way to the Airport,KBS
Seoul 1945,KBS
Poseidon,KBS
Sweet Enemy,SBS
Spotlight,MBC
Return,SBS
How to Buy a Friend,KBS
Taejo Wang Geon,KBS
Tazza,SBS
You and I,MBC
Glory Jane,KBS
Three Days,SBS
The Sons of Sol Pharmacy House,KBS
The Queen's Classroom,MBC
Ruby Ring,KBS
My Beautiful Bride,OCN
Woman with a Suitcase,MBC
Memory,tvN
Pegasus Market,tvN
Left-Handed Wife,KBS
My Unfortunate Boyfriend,MBC Dramanet
Golden Time,MBC
Secrets of Women,KBS
Pink Lipstick,MBC
Vampire Idol,MBN
A Place in the Sun,KBS
Chungil Electronics Miss Lee,tvN
Avengers Social Club,tvN
Mr. Baek,MBC
The Devil,SBS
Golden Cross,KBS
Secret Boutique,SBS
Happy Sisters,SBS
First Love Again,NA
The Return of Hwang Geum-Bok,SBS
We Are Dating Now,SBS
Blow Breeze,MBC
Miss Ripley,MBC
Lovers in Prague,SBS
The Musical,SBS
Radiant Office,MBC
The Birth of a Family,SBS
The 3rd Hospital,tvN
Our Gap-soon,SBS
Doctor Frost,OCN
Twelve Nights,Channel A
Twelve Nights, Viki
"Oh, the Mysterious",SBS
Unstoppable Marriage,KBS
The Full Sun,KBS
Dalkomhan seupai,MBC
Spy,KBS
Drinking Solo,tvN
Pied Piper,tvN
Doctor Detective,SBS
Super Daddy Yeol,tvN
Chip In,MBC
Lovers,MBC
First Love,MBC
My Love by My Side,SBS
Wanted,SBS
Angel's Revenge,KBS
King's Family,KBS
Baby Faced Beauty,KBS
Can't Lose,MBC
Neighborhood Lawyer Jo Deul-ho,KBS
The Queen of Office,KBS
Brain,KBS
Wonderful Mama,SBS
Marrying a Millionaire,SBS
Man Who Dies to Live,MBC
Basketball,tvN
Robber,SBS
The Banker,MBC
Model,SBS
Mysterious Personal Shopper,KBS
Coma,OCN
Masked Prosecutor,KBS
Heaven's Promise,KBS
Behind the White Tower,MBC
It's My Life,KBS
I Order You,SBS Plus
Korean Peninsula,TV Chosun
On Air,SBS
Empire of Gold,SBS
You Are the Only One,KBS
Shining Days,SBS
Incarnation of Money,SBS
Capital Scandal,KBS
"Run, Jang-Mi",SBS
Assembly,KBS
My Heart Twinkle Twinkle,SBS
Who Are You?,tvN
Love Returns,KBS
Unkind Ladies,KBS
Reset,OCN
Bad Housewife,SBS
Hero,OCN
My Dear Cat,KBS
Best Chicken,DramaX
Best Chicken, MBN
Best Chicken, Viki
Ruler of Your Own World,MBC
Melody of Love,KBS
Spy Myung-wol,KBS
Syndrome,jTBC
"Be Strong, Geum-Soon!",MBC
Laurel Tree Tailors,KBS
Lights and Shadows,MBC
Two Mothers,KBS
My Beloved Sister,MBC
Unknown Woman,KBS
A Thousand Kisses,MBC
Aillaendeu,MBC
The Secret of My Love,KBS
Gangnam Scandal,SBS
Tomorrow Boy,Naver TV Cast
Jeogdoui Namja,KBS
Amoreupati,SBS
"Sweet, Savage Family",MBC
Someday,OCN
A Daughter Just Like You,MBC
Romance,MBC
Surgeon Bong Dal-hee,SBS
Apgujeong Midnight Sun,MBC
Love to the End,KBS
Sweden Laundry,MBC every
Family's Honor,SBS
One Fine Day,SBS
Magic Cellphone,NA
Grandpas Over Flowers Investigation Team,tvN
Love on a Rooftop,KBS
Conspiracy in the Court,KBS
Precious Family,KBS
Byeoleun nae gaseume,MBC
Beating Heart,MBC
Enemies from the Past,MBC
Obeo deo reinbou,MBC
Happy Ending,NA
I Love Lee Tae-ri,tvN
Autumn Shower,MBC
Make a Woman Cry,MBC
Love Again,jTBC
Your Neighbor's Wife,jTBC
Ad Genius Lee Tae Baek,KBS
Yurihwa,SBS
How to Meet a Perfect Neighbor,SBS
The End of the World,jTBC
"Please Come Back, Soon-ae",SBS
The Wedding Scheme,tvN
Don't Hesitate,SBS
Into the Flames,TV Chosun
