kdrama_name,genre
Oh My Ghost,romance
Oh My Ghost,supernatural
Save Me,action
Save Me,thriller
Save Me,mystery
Save Me,drama
Live Up to Your Name,historical
Live Up to Your Name,romance
Live Up to Your Name,medical
Live Up to Your Name,fantasy
My Unfamiliar Family,life
My Unfamiliar Family,drama
Keuleiji Leobeu,comedy
Keuleiji Leobeu,romance
Keuleiji Leobeu,drama
The Innocent Man,romance
The Innocent Man,drama
The Innocent Man,family
The Innocent Man,melodrama
Encounter,business
Encounter,romance
Encounter,life
Encounter,political
Kairos,action
Kairos,thriller
Kairos,drama
Kairos,scifi
"Bring It On, Ghost",horror
"Bring It On, Ghost",comedy
"Bring It On, Ghost",romance
"Bring It On, Ghost",supernatural
Tunnel,thriller
Tunnel,mystery
Tunnel,scifi
Tunnel,fantasy
The Veil,action
The Veil,thriller
The Veil,mystery
The Veil,crime
Private Lives,thriller
Private Lives,mystery
Private Lives,romance
Private Lives,crime
My Golden Life,business
My Golden Life,comedy
My Golden Life,romance
My Golden Life,drama
The 1st Shop of Coffee Prince,food
The 1st Shop of Coffee Prince,comedy
The 1st Shop of Coffee Prince,romance
The 1st Shop of Coffee Prince,drama
Bridal Mask,action
Bridal Mask,historical
Bridal Mask,romance
Bridal Mask,political
"Father, I'll Take Care of You",romance
"Father, I'll Take Care of You",drama
"Father, I'll Take Care of You",family
"Father, I'll Take Care of You",melodrama
A Love So Beautiful,comedy
A Love So Beautiful,romance
A Love So Beautiful,life
A Love So Beautiful,youth
Mystic Pop-up Bar,mystery
Mystic Pop-up Bar,comedy
Mystic Pop-up Bar,drama
Mystic Pop-up Bar,fantasy
The Smile Has Left Your Eyes,thriller
The Smile Has Left Your Eyes,mystery
The Smile Has Left Your Eyes,romance
The Smile Has Left Your Eyes,drama
My Secret Terrius,action
My Secret Terrius,mystery
My Secret Terrius,comedy
My Secret Terrius,romance
School 2017,mystery
School 2017,comedy
School 2017,romance
School 2017,youth
Doctor John,mystery
Doctor John,romance
Doctor John,life
Doctor John,medical
More Than Friends,comedy
More Than Friends,romance
More Than Friends,life
More Than Friends,drama
Designated Survivor: 60 Days,thriller
Designated Survivor: 60 Days,mystery
Designated Survivor: 60 Days,drama
Designated Survivor: 60 Days,political
Bad Guys,action
Bad Guys,thriller
Bad Guys,psychological
Bad Guys,crime
Yeopgijeogin Geunyeo,historical
Yeopgijeogin Geunyeo,comedy
Yeopgijeogin Geunyeo,romance
When the Camellia Blooms,thriller
When the Camellia Blooms,comedy
When the Camellia Blooms,romance
When the Camellia Blooms,drama
My Strange Hero,mystery
My Strange Hero,comedy
My Strange Hero,romance
My Strange Hero,youth
Misty,thriller
Misty,mystery
Misty,romance
Misty,melodrama
Mom,romance
Mom,family
Mom,melodrama
Mom,supernatural
Naesungjukin Boseu,business
Naesungjukin Boseu,comedy
Naesungjukin Boseu,romance
Naesungjukin Boseu,drama
Find Me in Your Memory,romance
Find Me in Your Memory,drama
Find Me in Your Memory,melodrama
Adult Trainee,friendship
Adult Trainee,comedy
Adult Trainee,romance
Adult Trainee,school
Bloody Heart,historical
Bloody Heart,drama
Bloody Heart,political
Cheese in the Trap,psychological
Cheese in the Trap,romance
Cheese in the Trap,life
Cheese in the Trap,drama
Familiar Wife,comedy
Familiar Wife,romance
Familiar Wife,drama
Familiar Wife,fantasy
High Society,business
High Society,comedy
High Society,romance
High Society,melodrama
Shine or Go Crazy,historical
Shine or Go Crazy,romance
Shine or Go Crazy,supernatural
Shine or Go Crazy,political
Racket Boys,comedy
Racket Boys,life
Racket Boys,drama
Racket Boys,sports
"Now, We Are Breaking Up",romance
"Now, We Are Breaking Up",drama
"Now, We Are Breaking Up",melodrama
Investigation Partners,thriller
Investigation Partners,mystery
Investigation Partners,law
Investigation Partners,medical
A Wonderful Sight,action
A Wonderful Sight,thriller
A Wonderful Sight,mystery
A Wonderful Sight,comedy
Nothing to Lose,comedy
Nothing to Lose,law
Nothing to Lose,romance
Nothing to Lose,drama
River Where the Moon Rises,action
River Where the Moon Rises,historical
River Where the Moon Rises,romance
River Where the Moon Rises,political
Woori the Virgin,comedy
Woori the Virgin,romance
Woori the Virgin,drama
Woori the Virgin,melodrama
Rookie Cops,romance
Rookie Cops,life
Rookie Cops,youth
Rookie Cops,drama
Jirisan,thriller
Jirisan,mystery
Jirisan,drama
Jirisan,fantasy
Cunning Single Lady,business
Cunning Single Lady,comedy
Cunning Single Lady,romance
The Ghost Detective,thriller
The Ghost Detective,mystery
The Ghost Detective,horror
The Ghost Detective,supernatural
Tell Me What You Saw,thriller
Tell Me What You Saw,mystery
Dakteoseu,comedy
Dakteoseu,romance
Dakteoseu,drama
Dakteoseu,medical
Strongest Deliveryman,business
Strongest Deliveryman,comedy
Strongest Deliveryman,romance
Strongest Deliveryman,life
Becoming Witch,mystery
Becoming Witch,comedy
Rugal,action
Rugal,thriller
Rugal,crime
Rugal,scifi
Where Stars Land,comedy
Where Stars Land,romance
Where Stars Land,drama
Where Stars Land,melodrama
Still 17,music
Still 17,mystery
Still 17,comedy
Still 17,romance
"It's Okay, That's Love",psychological
"It's Okay, That's Love",comedy
"It's Okay, That's Love",romance
"It's Okay, That's Love",drama
Angel's Last Mission: Love,comedy
Angel's Last Mission: Love,romance
Angel's Last Mission: Love,drama
Angel's Last Mission: Love,fantasy
Good Manager,business
Good Manager,comedy
Good Manager,crime
Good Manager,drama
Hello Monster,thriller
Hello Monster,mystery
Hello Monster,psychological
Hello Monster,drama
Another Miss Oh,comedy
Another Miss Oh,romance
Another Miss Oh,melodrama
Another Miss Oh,supernatural
Doctor Prisoner,thriller
Doctor Prisoner,law
Doctor Prisoner,crime
Doctor Prisoner,medical
Chocolate,romance
Chocolate,life
Chocolate,medical
Chocolate,melodrama
The School Nurse Files,mystery
The School Nurse Files,horror
The School Nurse Files,comedy
The School Nurse Files,supernatural
Memorist,action
Memorist,thriller
Memorist,mystery
Memorist,supernatural
Misaeng,friendship
Misaeng,business
Misaeng,life
Misaeng,drama
Love with Flaws,comedy
Love with Flaws,romance
Love with Flaws,life
Love with Flaws,drama
You Are My Spring,thriller
You Are My Spring,mystery
You Are My Spring,romance
You Are My Spring,drama
Doctor Stranger,thriller
Doctor Stranger,romance
Doctor Stranger,drama
Doctor Stranger,medical
He is Psychometric,thriller
He is Psychometric,mystery
He is Psychometric,romance
He is Psychometric,supernatural
"From Now On, Showtime!",mystery
"From Now On, Showtime!",comedy
"From Now On, Showtime!",romance
"From Now On, Showtime!",fantasy
Father Is Strange,comedy
Father Is Strange,romance
Father Is Strange,drama
Father Is Strange,family
Train,thriller
Train,mystery
Train,scifi
The Cursed,thriller
The Cursed,mystery
The Cursed,horror
The Cursed,supernatural
You Are Beautiful,music
You Are Beautiful,comedy
You Are Beautiful,romance
You Are Beautiful,drama
To the Beautiful You,comedy
To the Beautiful You,romance
To the Beautiful You,drama
To the Beautiful You,sports
Nobody Knows,thriller
Nobody Knows,mystery
Nobody Knows,drama
Nobody Knows,melodrama
Heartless City,action
Heartless City,thriller
Heartless City,romance
Heartless City,crime
Undercover,action
Undercover,thriller
Undercover,mystery
Undercover,crime
Peurodyusa,comedy
Peurodyusa,romance
Peurodyusa,drama
Kill It,action
Kill It,thriller
Kill It,mystery
Kill It,drama
Mad Dog,action
Mad Dog,thriller
Mad Dog,mystery
Man to Man,action
Man to Man,thriller
Man to Man,comedy
Man to Man,romance
High Kick!,comedy
High Kick!,romance
High Kick!,drama
High Kick!,sitcom
Color Rush,mystery
Color Rush,romance
Color Rush,drama
Color Rush,supernatural
VIP,mystery
VIP,business
VIP,romance
VIP,melodrama
Seven Day Queen,historical
Seven Day Queen,romance
Seven Day Queen,melodrama
Seven Day Queen,political
Birth of a Beauty,comedy
Birth of a Beauty,romance
Birth of a Beauty,drama
Birth of a Beauty,melodrama
Imitation,music
Imitation,comedy
Imitation,romance
Imitation,drama
Welcome to Wedding Hell,romance
Welcome to Wedding Hell,life
Welcome to Wedding Hell,drama
School 2021,romance
School 2021,youth
School 2021,drama
School 2021,melodrama
Once Again,comedy
Once Again,romance
Once Again,life
Once Again,drama
