Genres,Tags,Country,Episodes,start airing,end airing,Aired On,Original Network,Duration,score,scored by,Ranked,Popularity,Content Rating,Watchers,actors,platforms,drama_name,imdb_rating,imdb_user_count,imdb_description
"['romance', 'family']",['pregnancy '],South Korea,40,"Mar 14, 2009","Aug  2, 2009","['saturday', 'sunday']",['MBC'],70,6.8,159,59379,10546,15+ - Teens 15 or older,537,"['Chae Rim', 'Kim Jung Hwa', 'Uhm Ki Joon', 'Kim Seung Soo', 'Lee  Han Wi', 'Joo Hyun']",[],"Good Job, Good Job",N/A,N/A,N/A
"['business', 'comedy', 'crime', 'drama']","['eccentric male lead', 'corruption', 'social satire', 'bromance', 'smart male lead', 'revenge', 'enemy mine', 'smart female lead', 'strong female lead', 'character development ']",South Korea,20,"Jan 25, 2017","Mar 30, 2017","['wednesday', 'thursday']",['KBS2'],60,8.6,15293,391,288,15+ - Teens 15 or older,"36,708","['Namkoong Min', 'Nam Sang Mi', 'Lee Jun Ho', 'Jung Hye Sung', 'Kim Won Hae', 'Kim Kang Hyun']","['Viki', 'Kocowa']",Good Manager,7.9,"1,425",
"['comedy', 'romance']","['emotional infidelity', 'first love', 'marriage ']",South Korea,20,"May  7, 2012","Jul 10, 2012","['monday', 'tuesday']",['Channel A'],65,7.1,452,7975,6229,Not Yet Rated,"1,351","['Hong Soo Hyun', 'Ryu Shi Won', 'Park Ji Yoon', 'Kim Min Soo', 'Julien Kang', 'Oh Joo Eun']","['AsianCrush', 'Netflix', 'Viki']",Goodbye Dear Wife,N/A,N/A,N/A
"['thriller', 'psychological', 'drama', 'sci-fi']","['doomsday', 'survival', 'apocalypse', 'adapted from a novel', 'suspense ']",South Korea,12,2023,?,N/A,['Netflix'],N/A,N/A,N/A,37179,3761,Not Yet Rated,"2,947","['Ahn Eun Jin', 'Yoo Ah In', 'Jeon Sung Woo', 'Kim Yoon Hye', 'Seo Ye Hwa', 'Yoon Seo Ah']",['Netflix'],Goodbye Earth,N/A,N/A,N/A
"['thriller', 'business', 'romance', 'drama']","['wrongfully accused', 'fake marriage', 'adapted from a manhwa', 'revenge', 'double identity', 'rich male lead', 'suspense ']",South Korea,20,"Mar 16, 2016","May 19, 2016","['wednesday', 'thursday']",['MBC'],65,7.4,3424,6196,1358,15+ - Teens 15 or older,"10,141","['Lee Jin Wook', 'Moon Chae Won', 'Yoo In Young', 'Kim Kang Woo', 'Song Jae Rim', 'Kim Tae Woo']","['iWant TFC', 'Viki']",Goodbye Mr. Black,7.1,231,
"['romance', 'drama']","['nice female lead', 'forbidden love', 'playboy male lead', 'character development ']",South Korea,16,"Sep  1, 1999","Oct 21, 1999","['wednesday', 'thursday']",['MBC'],65,7.1,42,55202,15634,Not Yet Rated,241,"['Ahn Jae Wook', 'Kim Hee Sun', 'Jung Joon Ho', 'Lee Tae Ran', 'Joo Hyun', 'Yoo  Joon Sang']",[],Goodbye My Love,N/A,N/A,N/A
"['romance', 'life']",[''],South Korea,16,"Mar  1, 2006","Apr 20, 2006","['wednesday', 'thursday']",['KBS2'],70,7.2,146,53455,9581,15+ - Teens 15 or older,640,"['Chun Jung Myung', 'Yoon So Yi', 'Kim Min Hee', 'Lee Jae Ryong', 'Bae Jong Ok', 'Na Moon Hee']",[],Goodbye Solo,N/A,N/A,N/A
"['romance', 'life', 'drama', 'melodrama']","['useless father', 'motherhood', 'smart female lead', 'unexpected pregnancy', 'depression', 'childbirth', 'infidelity', 'mother-daughter relationship', 'strong female lead', 'sismance ']",South Korea,40,"May 26, 2018","Aug  4, 2018",['saturday'],['MBC'],30,7.9,1456,2417,2352,15+ - Teens 15 or older,"5,394","['Chae Shi Ra', 'Jo Bo Ah', 'Lee Jun Young', 'Lee Sung Jae', 'Jung Hye Young', 'Jung Woong In']",[],Goodbye to Goodbye,7.6,74,
"['thriller', 'mystery', 'drama', 'melodrama']","['strong female lead', 'smart female lead', 'grandpa-granddaughter relationship', 'badass female lead', 'calm male lead', 'rich female lead', 'family secret', 'murder', 'slow burn romance', 'slight romance ']",South Korea,16,"Aug 21, 2019","Oct 17, 2019","['wednesday', 'thursday']",['MBN'],80,8.3,9335,1022,559,15+ - Teens 15 or older,"23,031","['Im Soo Hyang', 'Lee Jang Woo', 'Bae Jong Ok', 'Lee Kyu Han', 'Kim Jin Woo', 'Jeon Jin Seo']",['Viki'],Graceful Family,7.6,421,
"['mystery', 'life', 'drama']","['bromance', 'multiple couples', 'murder', 'jealousy', 'multiple mains', 'first love', 'romance', 'friendship', 'emotional infidelity', 'city setting ']",South Korea,17,"Jul 10, 2020","Sep  5, 2020","['friday', 'saturday']",['jTBC'],70,7.5,1284,5739,2788,18+ Restricted (violence & profanity),"4,417","['Yoo  Joon Sang', 'Song Yoon Ah', 'Bae Soo Bin', 'Han Da Gam', 'Kim Sung Oh', 'Kim Hye Eun']","['Disney+ Hotstar', 'iQIYI', 'Netflix']",Graceful Friends,6.8,181,
